gene,STRING_id
ZFP36L2,9606.ENSP00000282388
MECOM,9606.ENSP00000264674
RUNX3,9606.ENSP00000382800
MED12,9606.ENSP00000363193
ZEB2,9606.ENSP00000487174
MCM3,9606.ENSP00000480987
SAE1,9606.ENSP00000270225
MRPL4,9606.ENSP00000306902
MED13L,9606.ENSP00000281928
ALDH1A1,9606.ENSP00000297785
ALDH1A2,9606.ENSP00000249750
NBPF14,9606.ENSP00000479693
MYO10,9606.ENSP00000421280
FDFT1,9606.ENSP00000491537
FDXR,9606.ENSP00000416515
MAVS,9606.ENSP00000401980
ENO1,9606.ENSP00000495530
FER,9606.ENSP00000281092
FES,9606.ENSP00000331504
RHOB,9606.ENSP00000272233
LST1,9606.ENSP00000365261
NFKBIZ,9606.ENSP00000325663
RPL39,9606.ENSP00000355315
NFAT5,9606.ENSP00000338806
ACTA2,9606.ENSP00000224784
NFE2,9606.ENSP00000439120
FSCN1,9606.ENSP00000371798
RPL36A,9606.ENSP00000404375
MND1,9606.ENSP00000240488
RARB,9606.ENSP00000332296
DOK1,9606.ENSP00000233668
MRPS7,9606.ENSP00000245539
LRRC4,9606.ENSP00000249363
RPL38,9606.ENSP00000309830
RPL31,9606.ENSP00000386717
VAMP5,9606.ENSP00000305647
ACSM1,9606.ENSP00000301956
NFKBIA,9606.ENSP00000216797
ZWINT,9606.ENSP00000363055
ADGRG5,9606.ENSP00000342981
NFKB2,9606.ENSP00000358983
RPL8,9606.ENSP00000262584
SESN3,9606.ENSP00000441927
ETV6,9606.ENSP00000379658
APLP2,9606.ENSP00000497691
RPL37,9606.ENSP00000274242
DPYSL2,9606.ENSP00000427985
