ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0051254,positive regulation of RNA metabolic process,34/57,43/182,0.7906976744186046,2.5246838025295797,7.704213739983068,7.502705528190301e-14,3.413731015326587e-11,1.950703437329478e-11,MYC/JUN/HIF1A/NFKBIA/EGR1/ATF3/SQSTM1/GATA2/IRF3/NCOA3/USF1/MAVS/ETV6/BTG2/NFKB2/KLF2/RUNX3/NFKBIZ/NR4A2/PBX1/IER2/MECOM/ZEB2/NFE2/PPARD/MAFG/PER1/RARB/FLI1/MED12/NFAT5/MED13L/PBXIP1/DYRK1B,34
GO:0045893,positive regulation of DNA-templated transcription,33/57,42/182,0.7857142857142857,2.508771929824561,7.507683082227027,3.4740005934013103e-13,5.268900899991987e-11,3.0108005142811355e-11,MYC/JUN/HIF1A/NFKBIA/EGR1/ATF3/SQSTM1/GATA2/IRF3/NCOA3/USF1/MAVS/ETV6/NFKB2/KLF2/RUNX3/NFKBIZ/NR4A2/PBX1/IER2/MECOM/ZEB2/NFE2/PPARD/MAFG/PER1/RARB/FLI1/MED12/NFAT5/MED13L/PBXIP1/DYRK1B,33
GO:1902680,positive regulation of RNA biosynthetic process,33/57,42/182,0.7857142857142857,2.508771929824561,7.507683082227027,3.4740005934013103e-13,5.268900899991987e-11,3.0108005142811355e-11,MYC/JUN/HIF1A/NFKBIA/EGR1/ATF3/SQSTM1/GATA2/IRF3/NCOA3/USF1/MAVS/ETV6/NFKB2/KLF2/RUNX3/NFKBIZ/NR4A2/PBX1/IER2/MECOM/ZEB2/NFE2/PPARD/MAFG/PER1/RARB/FLI1/MED12/NFAT5/MED13L/PBXIP1/DYRK1B,33
GO:0019219,regulation of nucleobase-containing compound metabolic process,41/57,63/182,0.6507936507936508,2.077972709551657,7.125679242493027,1.777155216781712e-12,2.0215140590891973e-10,1.1551508909081127e-10,MYC/JUN/HIF1A/NFKBIA/EGR1/ATF3/SQSTM1/GATA2/DUSP1/IRF3/NCOA3/CYLD/USF1/LMNA/MAVS/ETV6/BHLHE40/BTG2/BAX/NFKB2/KLF2/APAF1/RUNX3/NFKBIZ/NR4A2/PBX1/IER2/MECOM/ZEB2/NFE2/PPARD/MAFG/PER1/TSC22D3/RARB/FLI1/MED12/NFAT5/MED13L/PBXIP1/DYRK1B,41
GO:0045935,positive regulation of nucleobase-containing compound metabolic process,35/57,49/182,0.7142857142857143,2.280701754385965,7.062231225325539,6.3203059575336995e-12,5.751478421355666e-10,3.2865590979175233e-10,MYC/JUN/HIF1A/NFKBIA/EGR1/ATF3/SQSTM1/GATA2/IRF3/NCOA3/USF1/MAVS/ETV6/BTG2/BAX/NFKB2/KLF2/RUNX3/NFKBIZ/NR4A2/PBX1/IER2/MECOM/ZEB2/NFE2/PPARD/MAFG/PER1/RARB/FLI1/MED12/NFAT5/MED13L/PBXIP1/DYRK1B,35
GO:0045944,positive regulation of transcription by RNA polymerase II,29/57,36/182,0.8055555555555556,2.572124756335283,7.092241865830306,8.371886441916647e-12,6.34868055178679e-10,3.6278174581638795e-10,MYC/JUN/HIF1A/NFKBIA/EGR1/ATF3/SQSTM1/GATA2/IRF3/NCOA3/USF1/MAVS/ETV6/NFKB2/KLF2/NFKBIZ/NR4A2/PBX1/IER2/MECOM/ZEB2/PPARD/MAFG/PER1/RARB/FLI1/MED12/NFAT5/MED13L,29
GO:0006357,regulation of transcription by RNA polymerase II,34/57,48/182,0.7083333333333334,2.261695906432749,6.860323923817664,2.646273519842652e-11,1.7200777878977238e-9,9.829015930844134e-10,MYC/JUN/HIF1A/NFKBIA/EGR1/ATF3/SQSTM1/GATA2/IRF3/NCOA3/USF1/MAVS/ETV6/BHLHE40/BTG2/NFKB2/KLF2/RUNX3/NFKBIZ/NR4A2/PBX1/IER2/MECOM/ZEB2/NFE2/PPARD/MAFG/PER1/TSC22D3/RARB/FLI1/MED12/NFAT5/MED13L,34
GO:0006355,regulation of DNA-templated transcription,37/57,56/182,0.6607142857142857,2.1096491228070176,6.720724979458144,4.5877015320499196e-11,2.0874041970827136e-9,1.1928023983329792e-9,MYC/JUN/HIF1A/NFKBIA/EGR1/ATF3/SQSTM1/GATA2/IRF3/NCOA3/CYLD/USF1/MAVS/ETV6/BHLHE40/BTG2/NFKB2/KLF2/RUNX3/NFKBIZ/NR4A2/PBX1/IER2/MECOM/ZEB2/NFE2/PPARD/MAFG/PER1/TSC22D3/RARB/FLI1/MED12/NFAT5/MED13L/PBXIP1/DYRK1B,37
GO:0051252,regulation of RNA metabolic process,37/57,56/182,0.6607142857142857,2.1096491228070176,6.720724979458144,4.5877015320499196e-11,2.0874041970827136e-9,1.1928023983329792e-9,MYC/JUN/HIF1A/NFKBIA/EGR1/ATF3/SQSTM1/GATA2/IRF3/NCOA3/CYLD/USF1/MAVS/ETV6/BHLHE40/BTG2/NFKB2/KLF2/RUNX3/NFKBIZ/NR4A2/PBX1/IER2/MECOM/ZEB2/NFE2/PPARD/MAFG/PER1/TSC22D3/RARB/FLI1/MED12/NFAT5/MED13L/PBXIP1/DYRK1B,37
GO:2001141,regulation of RNA biosynthetic process,37/57,56/182,0.6607142857142857,2.1096491228070176,6.720724979458144,4.5877015320499196e-11,2.0874041970827136e-9,1.1928023983329792e-9,MYC/JUN/HIF1A/NFKBIA/EGR1/ATF3/SQSTM1/GATA2/IRF3/NCOA3/CYLD/USF1/MAVS/ETV6/BHLHE40/BTG2/NFKB2/KLF2/RUNX3/NFKBIZ/NR4A2/PBX1/IER2/MECOM/ZEB2/NFE2/PPARD/MAFG/PER1/TSC22D3/RARB/FLI1/MED12/NFAT5/MED13L/PBXIP1/DYRK1B,37
GO:0006366,transcription by RNA polymerase II,34/57,49/182,0.6938775510204082,2.215538847117794,6.702900478048702,7.211890814444924e-11,2.9831002914294914e-9,1.7046287379597093e-9,MYC/JUN/HIF1A/NFKBIA/EGR1/ATF3/SQSTM1/GATA2/IRF3/NCOA3/USF1/MAVS/ETV6/BHLHE40/BTG2/NFKB2/KLF2/RUNX3/NFKBIZ/NR4A2/PBX1/IER2/MECOM/ZEB2/NFE2/PPARD/MAFG/PER1/TSC22D3/RARB/FLI1/MED12/NFAT5/MED13L,34
