ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0022402,cell cycle process,24/36,38/182,0.631578947368421,3.192982456140351,7.525923847639852,6.966105011218675e-12,2.0271365582646343e-9,1.825852787151e-9,CDK1/TOP2A/MCM3/KIF20A/TK1/PCNA/BUB1/PTTG1/NUSAP1/RACGAP1/CDC25C/ZWINT/TTK/CDCA5/CKS2/TPX2/CENPU/CEP55/GMNN/ESPL1/MND1/CLSPN/PKMYT1/LIG1,24
GO:0007049,cell cycle,25/36,46/182,0.5434782608695652,2.7475845410628015,6.789874793954605,2.3999722858656926e-10,3.491959675934583e-8,3.145226837792408e-8,CDK1/TOP2A/MCM3/KIF20A/TK1/PCNA/BUB1/PTTG1/NUSAP1/RACGAP1/CDC25C/ZWINT/TTK/CDCA5/CKS1B/CKS2/TPX2/CENPU/CEP55/GMNN/ESPL1/MND1/CLSPN/PKMYT1/LIG1,25
GO:0000278,mitotic cell cycle,20/36,31/182,0.6451612903225806,3.261648745519713,6.84591715331576,9.126184889493121e-10,8.491381161496838e-8,7.64823262511381e-8,CDK1/MCM3/KIF20A/TK1/PCNA/BUB1/NUSAP1/RACGAP1/CDC25C/ZWINT/TTK/CKS1B/CKS2/TPX2/CEP55/GMNN/ESPL1/CLSPN/PKMYT1/LIG1,20
GO:0000280,nuclear division,14/36,16/182,0.875,4.423611111111111,7.100754282775189,1.1672001596559228e-9,8.491381161496838e-8,7.64823262511381e-8,CDK1/TOP2A/BUB1/PTTG1/NUSAP1/RACGAP1/CDC25C/ZWINT/TTK/CKS2/TPX2/ESPL1/MND1/PKMYT1,14
GO:1903047,mitotic cell cycle process,18/36,26/182,0.6923076923076923,3.5,6.818337482656404,1.8396026789362597e-9,1.0706487591409032e-7,9.64339088537113e-8,CDK1/MCM3/KIF20A/TK1/PCNA/BUB1/NUSAP1/RACGAP1/CDC25C/ZWINT/TTK/CKS2/TPX2/CEP55/ESPL1/CLSPN/PKMYT1/LIG1,18
GO:0048285,organelle fission,14/36,17/182,0.8235294117647058,4.163398692810457,6.783448455537643,5.7977341244092095e-9,2.8119010503384664e-7,2.53269438066297e-7,CDK1/TOP2A/BUB1/PTTG1/NUSAP1/RACGAP1/CDC25C/ZWINT/TTK/CKS2/TPX2/ESPL1/MND1/PKMYT1,14
GO:0006260,DNA replication,11/36,12/182,0.9166666666666666,4.634259259259259,6.45054156258158,4.673448973601698e-8,1.6999670641476175e-6,1.5311694663510825e-6,CDK1/MCM3/MCM5/TK1/PCNA/GINS2/GMNN/CHAF1B/LIG1/POLD2/NUCKS1,11
GO:0098813,nuclear chromosome segregation,11/36,12/182,0.9166666666666666,4.634259259259259,6.45054156258158,4.673448973601698e-8,1.6999670641476175e-6,1.5311694663510825e-6,CDK1/TOP2A/BUB1/PTTG1/NUSAP1/RACGAP1/ZWINT/TTK/TPX2/ESPL1/MND1,11
GO:0006281,DNA repair,13/36,17/182,0.7647058823529411,3.8660130718954244,6.145748239159621,1.281545609539235e-7,3.4038317691626497e-6,3.0658495587683117e-6,CDK1/MCM3/MCM5/PCNA/PTTG1/GINS2/CDCA5/UBE2T/CLSPN/CHAF1B/LIG1/POLD2/NUCKS1,13
GO:0051276,chromosome organization,13/36,17/182,0.7647058823529411,3.8660130718954244,6.145748239159621,1.281545609539235e-7,3.4038317691626497e-6,3.0658495587683117e-6,CDK1/TOP2A/PCNA/BUB1/PTTG1/NUSAP1/RACGAP1/ZWINT/TTK/CDCA5/TPX2/ESPL1/MND1,13
GO:0006259,DNA metabolic process,18/36,31/182,0.5806451612903226,2.935483870967742,5.858629576530127,1.3567750114256395e-7,3.4038317691626497e-6,3.0658495587683117e-6,CDK1/TOP2A/TYMS/MCM3/MCM5/TK1/PCNA/PTTG1/GINS2/CDCA5/UBE2T/GMNN/MND1/CLSPN/CHAF1B/LIG1/POLD2/NUCKS1,18
GO:0051301,cell division,16/36,25/182,0.64,3.2355555555555555,5.959636275784499,1.4036419666650103e-7,3.4038317691626497e-6,3.0658495587683117e-6,CDK1/TOP2A/KIF20A/BUB1/PTTG1/NUSAP1/RACGAP1/CDC25C/ZWINT/CDCA5/CKS1B/CKS2/TPX2/CEP55/ESPL1/LIG1,16
GO:0007059,chromosome segregation,12/36,15/182,0.8,4.044444444444444,6.095503111048101,1.9638048767871292e-7,4.395901685731189e-6,3.959412261700366e-6,CDK1/TOP2A/BUB1/PTTG1/NUSAP1/RACGAP1/ZWINT/TTK/TPX2/CENPU/ESPL1/MND1,12
GO:0019953,sexual reproduction,13/36,18/182,0.7222222222222222,3.651234567901234,5.867817419750428,4.0193723044153844e-7,8.354552432749121e-6,7.524990254131058e-6,CDK1/TOP2A/PTTG1/RACGAP1/CDC25C/ZWINT/TTK/CKS2/ASF1B/ESPL1/MND1/PKMYT1/CCDC146,13
GO:0140014,mitotic nuclear division,10/36,12/182,0.8333333333333334,4.212962962962964,5.702771776346008,1.4600578036392627e-6,2.8047396802950934e-5,2.5262440961963402e-5,CDK1/BUB1/NUSAP1/RACGAP1/CDC25C/ZWINT/TTK/TPX2/ESPL1/PKMYT1,10
