category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Infectious disease: viral,hsa05169,Epstein-Barr virus infection,12/46,13/144,0.9230769230769231,2.8896321070234117,4.876937439207232,3.721014045169399e-6,3.721014045169399e-5,2.350114133791199e-5,4609/3725/4792/7128/3661/8717/57506/581/4791/317/864/6416,12
Human Diseases,Cancer: overview,hsa05200,Pathways in cancer,11/46,18/144,0.6111111111111112,1.9130434782608696,2.82732891964762,0.006386096080097555,0.030923748885937158,0.01953078877006557,4609/3725/3091/4792/8202/581/4791/317/2122/5467/5915,11
Human Diseases,Infectious disease: bacterial,hsa05131,Shigellosis,7/46,10/144,0.7,2.1913043478260867,2.666270602785882,0.012369499554374863,0.030923748885937158,0.01953078877006557,3725/4792/8878/3661/8717/581/10241,7
Human Diseases,Infectious disease: viral,hsa05168,Herpes simplex virus 1 infection,7/46,10/144,0.7,2.1913043478260867,2.666270602785882,0.012369499554374863,0.030923748885937158,0.01953078877006557,4792/3661/8717/57506/581/1978/317,7
