ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0002181,cytoplasmic translation,11/21,11/182,1,8.666666666666666,9.448021338485411,2.64020467854017e-12,5.043937963175516e-10,5.043937963175516e-10,RPL8/RPS29/RPS28/RPS21/RPL31/YBX1/RPL38/RPL36A/RPL39/RPL37/EIF4A2,11
GO:0006412,translation,14/21,19/182,0.7368421052631579,6.385964912280702,8.93475225664505,3.68170654246388e-12,5.043937963175516e-10,5.043937963175516e-10,RPL8/MRPS7/RPS29/RPS28/MRPL4/RPS21/RPL31/YBX1/RPL38/RPL36A/RPL39/RPL37/EEF1A2/EIF4A2,14
GO:0019538,protein metabolic process,17/21,66/182,0.25757575757575757,2.2323232323232323,4.516516550533784,1.164454707179177e-5,0.0010635352992236482,0.0010635352992236482,RPL8/MRPS7/RPS29/RPS28/MRPL4/DDIT3/RPS21/RPL31/YBX1/RPL38/RPL36A/RPL39/RPL37/RAD23A/EEF1A2/CSNK1D/EIF4A2,17
