gene,L1_Krishnan_scRNAseq,L2_Awad_CRISPR_KO,L3_Krishnan_ML,L4_Sacco_RNAseq,L5_Sacco_Phospho,evidence_count,druggability_score
DUSP1,1,1,0,0,0,2,NA
MT2A,0,1,1,0,0,2,NA
MT1X,0,1,0,1,0,2,NA
RPS21,1,1,0,0,0,2,NA
EIF4EBP1,1,0,0,0,1,2,3.32188
AHNAK,0,0,0,1,1,2,-7.20844
EIF4A2,1,0,0,1,0,2,-3.33062
MECOM,1,0,0,0,1,2,2.59815
RUNX3,0,0,0,1,1,2,2.64346
MED12,0,1,0,0,1,2,1.51603
ZEB2,0,0,0,1,1,2,-2.66726
MCM3,1,0,0,1,0,2,0.345654
SAE1,1,0,0,1,0,2,NA
MRPL4,1,1,0,0,0,2,-0.933456
MED13L,0,0,0,1,1,2,1.08624
ALDH1A1,1,0,0,0,1,2,-5.6969900000000004
ALDH1A2,0,1,0,0,1,2,-6.66767
MYO10,0,1,0,1,0,2,NA
FDFT1,0,1,0,1,0,2,NA
FDXR,1,1,0,0,0,2,NA
MAVS,0,0,0,1,1,2,-4.44551
ENO1,1,0,0,0,1,2,-1.00957
FER,0,0,0,1,1,2,-1.89038
FES,1,0,0,0,1,2,2.42517
RHOB,1,0,0,1,0,2,NA
LST1,1,0,0,1,0,2,NA
NFKBIZ,1,0,0,1,0,2,NA
RPL39,1,0,1,0,0,2,NA
NFAT5,0,1,0,0,1,2,-2.38787
ACTA2,1,1,0,0,0,2,NA
NFE2,1,0,0,0,1,2,-3.37331
FSCN1,1,0,0,1,0,2,-7.44944
RPL36A,1,0,0,1,0,2,NA
MND1,1,0,0,1,0,2,NA
RARB,0,1,0,1,0,2,NA
MRPS7,1,1,0,0,0,2,-4.98921
RPL38,1,0,0,1,0,2,NA
RPL31,1,0,0,1,0,2,NA
ACSM1,0,1,0,1,0,2,NA
NFKBIA,1,0,0,1,0,2,-0.674941
ZWINT,1,0,0,0,1,2,-3.4218
NFKB2,0,0,0,1,1,2,2.10388
RPL8,1,0,1,0,0,2,0.399979
SESN3,0,1,0,1,0,2,NA
ETV6,0,1,0,0,1,2,1.79061
APLP2,1,0,0,0,1,2,-1.69698
RPL37,1,0,0,1,0,2,NA
DPYSL2,0,0,0,1,1,2,3.32009
