community,n_genes,n_druggable,pct_druggable,mean_degree,top_hub,n_core
1,57,14,24.561403508771928,10.087719298245613,MYC,4
2,37,10,27.027027027027028,24,CDK1,4
3,34,5,14.705882352941178,9.294117647058822,ENO1,4
4,29,6,20.689655172413794,4.896551724137932,PTPRC,1
5,6,1,16.666666666666664,3.1666666666666665,CTTN,0
6,21,4,19.047619047619047,12.952380952380953,TUBB,0
