category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Genetic Information Processing,Translation,hsa03010,Ribosome,11/18,11/144,1,8,9.098872110553621,3.403960661965998e-12,1.701980330982999e-11,1.0749349458839993e-11,6132/51081/6235/6234/51073/6227/6160/6169/6173/6170/6167,11
Human Diseases,Infectious disease: viral,hsa05171,Coronavirus disease - COVID-19,9/18,14/144,0.6428571428571429,5.142857142857143,6.144850175022121,1.2516633910114725e-6,3.129158477528681e-6,1.9763106173865353e-6,6132/6235/6234/6227/6160/6169/6173/6170/6167,9
