gene1,gene2,combined_score
FDPS,IDH1,484
FDPS,IDH1,484
ACAT2,IDH1,426
ACAT2,IDH1,426
ECHS1,IDH1,541
ECHS1,IDH1,541
PGAM1,IDH1,624
PGAM1,IDH1,624
ETV6,IDH1,709
ETV6,IDH1,709
NFKBIA,CYLD,743
NFKBIA,CYLD,743
THOC3,CYLD,989
THOC3,CYLD,989
TRADD,CYLD,995
TRADD,CYLD,995
NFKB2,CYLD,514
NFKB2,CYLD,514
JUN,CYLD,424
JUN,CYLD,424
SQSTM1,CYLD,979
SQSTM1,CYLD,979
HSPE1,DHFR,575
HSPE1,DHFR,575
HMGCR,DHFR,432
HMGCR,DHFR,432
TYMS,DHFR,999
TYMS,DHFR,999
PCNA,DHFR,446
PCNA,DHFR,446
CDK1,DHFR,571
CDK1,DHFR,571
SP100,CALCOCO2,839
SP100,CALCOCO2,839
SQSTM1,CALCOCO2,981
SQSTM1,CALCOCO2,981
NFKBIA,MAVS,812
NFKBIA,MAVS,812
HK2,MAVS,519
HK2,MAVS,519
TRADD,MAVS,996
TRADD,MAVS,996
NFKB2,MAVS,618
NFKB2,MAVS,618
JUN,MAVS,459
JUN,MAVS,459
SQSTM1,MAVS,753
SQSTM1,MAVS,753
CYLD,MAVS,709
CYLD,MAVS,709
CALCOCO2,MAVS,798
CALCOCO2,MAVS,798
MCM5,RACGAP1,448
MCM5,RACGAP1,448
GMNN,RACGAP1,433
GMNN,RACGAP1,433
MND1,RACGAP1,573
MND1,RACGAP1,573
GINS2,RACGAP1,408
GINS2,RACGAP1,408
ESPL1,RACGAP1,627
ESPL1,RACGAP1,627
KLC4,RACGAP1,411
KLC4,RACGAP1,411
ASF1B,RACGAP1,472
ASF1B,RACGAP1,472
RHOB,RACGAP1,620
RHOB,RACGAP1,620
CDCA5,RACGAP1,843
CDCA5,RACGAP1,843
CENPU,RACGAP1,719
CENPU,RACGAP1,719
TPX2,RACGAP1,864
TPX2,RACGAP1,864
BUB1,RACGAP1,843
BUB1,RACGAP1,843
CKS1B,RACGAP1,441
CKS1B,RACGAP1,441
CLSPN,RACGAP1,557
CLSPN,RACGAP1,557
TYMS,RACGAP1,611
TYMS,RACGAP1,611
CDC25C,RACGAP1,503
CDC25C,RACGAP1,503
TTK,RACGAP1,845
TTK,RACGAP1,845
CEP55,RACGAP1,958
CEP55,RACGAP1,958
ZWINT,RACGAP1,925
ZWINT,RACGAP1,925
CKS2,RACGAP1,624
CKS2,RACGAP1,624
PCNA,RACGAP1,523
PCNA,RACGAP1,523
PTTG1,RACGAP1,822
PTTG1,RACGAP1,822
KIF20A,RACGAP1,997
KIF20A,RACGAP1,997
CDK1,RACGAP1,960
CDK1,RACGAP1,960
MRPS7,RPL36A,806
MRPS7,RPL36A,806
RPL8,RPL36A,999
RPL8,RPL36A,999
RPL37,RPL36A,999
RPL37,RPL36A,999
MRPL4,RPL36A,722
MRPL4,RPL36A,722
RPL38,RPL36A,999
RPL38,RPL36A,999
TUBB,RPL36A,818
TUBB,RPL36A,818
RPS21,RPL36A,999
RPS21,RPL36A,999
RPL39,RPL36A,999
RPL39,RPL36A,999
RPS29,RPL36A,999
RPS29,RPL36A,999
RPL31,RPL36A,999
RPL31,RPL36A,999
ALDH1A2,PBX1,519
ALDH1A2,PBX1,519
MECOM,PBX1,456
MECOM,PBX1,456
GATA2,PBX1,439
GATA2,PBX1,439
PBXIP1,PBX1,624
PBXIP1,PBX1,624
NCOA3,PBX1,582
NCOA3,PBX1,582
ETV6,PBX1,796
ETV6,PBX1,796
DUSP1,MAP2K4,618
DUSP1,MAP2K4,618
JUN,MAP2K4,921
JUN,MAP2K4,921
TYMS,STMN1,721
TYMS,STMN1,721
TUBB,STMN1,539
TUBB,STMN1,539
PGAM1,STMN1,495
PGAM1,STMN1,495
CEP55,STMN1,484
CEP55,STMN1,484
ZWINT,STMN1,408
ZWINT,STMN1,408
PTTG1,STMN1,503
PTTG1,STMN1,503
KIF20A,STMN1,439
KIF20A,STMN1,439
CDK1,STMN1,600
CDK1,STMN1,600
NFKBIA,PTPRC,509
NFKBIA,PTPRC,509
ACTA2,PTPRC,461
ACTA2,PTPRC,461
CD38,PTPRC,864
CD38,PTPRC,864
KLF2,PTPRC,427
KLF2,PTPRC,427
PTPN7,PTPRC,435
PTPN7,PTPRC,435
IL3RA,PTPRC,749
IL3RA,PTPRC,749
TUBB,PTPRC,439
TUBB,PTPRC,439
GATA2,PTPRC,485
GATA2,PTPRC,485
C5AR1,PTPRC,518
C5AR1,PTPRC,518
GAD1,PTPRC,439
GAD1,PTPRC,439
CD300A,PTPRC,491
CD300A,PTPRC,491
JUN,PTPRC,582
JUN,PTPRC,582
HLA-E,PTPRC,464
HLA-E,PTPRC,464
CD83,PTPRC,611
CD83,PTPRC,611
TNFRSF4,PTPRC,574
TNFRSF4,PTPRC,574
ITGB2,PTPRC,870
ITGB2,PTPRC,870
RUNX3,PTPRC,503
RUNX3,PTPRC,503
MCM5,TOP2A,755
MCM5,TOP2A,755
GMNN,TOP2A,527
GMNN,TOP2A,527
HSPE1,TOP2A,404
HSPE1,TOP2A,404
MND1,TOP2A,616
MND1,TOP2A,616
GINS2,TOP2A,711
GINS2,TOP2A,711
ESPL1,TOP2A,909
ESPL1,TOP2A,909
PKMYT1,TOP2A,503
PKMYT1,TOP2A,503
RPL8,TOP2A,443
RPL8,TOP2A,443
LIG1,TOP2A,570
LIG1,TOP2A,570
ASF1B,TOP2A,709
ASF1B,TOP2A,709
TMPO,TOP2A,481
TMPO,TOP2A,481
CDCA5,TOP2A,917
CDCA5,TOP2A,917
CENPU,TOP2A,688
CENPU,TOP2A,688
HMGCR,TOP2A,403
HMGCR,TOP2A,403
TPX2,TOP2A,942
TPX2,TOP2A,942
BUB1,TOP2A,982
BUB1,TOP2A,982
CKS1B,TOP2A,551
CKS1B,TOP2A,551
CLSPN,TOP2A,676
CLSPN,TOP2A,676
TYMS,TOP2A,960
TYMS,TOP2A,960
CHAF1B,TOP2A,437
CHAF1B,TOP2A,437
CDC25C,TOP2A,797
CDC25C,TOP2A,797
TUBB,TOP2A,593
TUBB,TOP2A,593
TTK,TOP2A,958
TTK,TOP2A,958
JUN,TOP2A,525
JUN,TOP2A,525
CEP55,TOP2A,928
CEP55,TOP2A,928
ZWINT,TOP2A,875
ZWINT,TOP2A,875
CKS2,TOP2A,708
CKS2,TOP2A,708
PCNA,TOP2A,789
PCNA,TOP2A,789
PTTG1,TOP2A,942
PTTG1,TOP2A,942
KIF20A,TOP2A,974
KIF20A,TOP2A,974
CDK1,TOP2A,997
CDK1,TOP2A,997
IDH1,TOP2A,444
IDH1,TOP2A,444
DHFR,TOP2A,639
DHFR,TOP2A,639
RACGAP1,TOP2A,882
RACGAP1,TOP2A,882
STMN1,TOP2A,588
STMN1,TOP2A,588
PFKFB4,SLC2A1,677
PFKFB4,SLC2A1,677
BHLHE40,SLC2A1,401
BHLHE40,SLC2A1,401
HK2,SLC2A1,811
HK2,SLC2A1,811
TYMS,SLC2A1,453
TYMS,SLC2A1,453
EIF4EBP1,SLC2A1,442
EIF4EBP1,SLC2A1,442
PGAM1,SLC2A1,607
PGAM1,SLC2A1,607
JUN,SLC2A1,409
JUN,SLC2A1,409
IDH1,SLC2A1,535
IDH1,SLC2A1,535
HSPE1,FDXR,513
HSPE1,FDXR,513
STAR,FDXR,886
STAR,FDXR,886
TYMS,FDXR,532
TYMS,FDXR,532
BOLA3,FDXR,414
BOLA3,FDXR,414
TSPO,FDXR,530
TSPO,FDXR,530
IDH1,FDXR,670
IDH1,FDXR,670
DHFR,FDXR,427
DHFR,FDXR,427
SAE1,GPHN,502
SAE1,GPHN,502
GAD1,GPHN,660
GAD1,GPHN,660
CD38,CD200,551
CD38,CD200,551
IL3RA,CD200,410
IL3RA,CD200,410
TNFRSF4,CD200,421
TNFRSF4,CD200,421
PTPRC,CD200,937
PTPRC,CD200,937
FSCN1,MYO10,629
FSCN1,MYO10,629
KLC4,DPYSL2,626
KLC4,DPYSL2,626
FES,DPYSL2,926
FES,DPYSL2,926
TUBB,DPYSL2,414
TUBB,DPYSL2,414
PGAM1,DPYSL2,402
PGAM1,DPYSL2,402
AHNAK,DPYSL2,482
AHNAK,DPYSL2,482
STMN1,DPYSL2,516
STMN1,DPYSL2,516
FDXR,DPYSL2,437
FDXR,DPYSL2,437
PTPRC,ANGPT1,481
PTPRC,ANGPT1,481
RALA,PLCD1,827
RALA,PLCD1,827
PI4KB,PLCD1,773
PI4KB,PLCD1,773
GATA2,FLI1,928
GATA2,FLI1,928
CDK1,FLI1,603
CDK1,FLI1,603
ETV6,FLI1,419
ETV6,FLI1,419
NFKBIA,HIF1A,735
NFKBIA,HIF1A,735
PFKFB4,HIF1A,602
PFKFB4,HIF1A,602
DUSP1,HIF1A,575
DUSP1,HIF1A,575
EGR1,HIF1A,552
EGR1,HIF1A,552
KLF2,HIF1A,426
KLF2,HIF1A,426
BHLHE40,HIF1A,533
BHLHE40,HIF1A,533
HMGCR,HIF1A,451
HMGCR,HIF1A,451
HK2,HIF1A,740
HK2,HIF1A,740
BAX,HIF1A,447
BAX,HIF1A,447
ALDH1A1,HIF1A,451
ALDH1A1,HIF1A,451
PPARD,HIF1A,510
PPARD,HIF1A,510
TYMS,HIF1A,586
TYMS,HIF1A,586
EIF4EBP1,HIF1A,582
EIF4EBP1,HIF1A,582
ATF3,HIF1A,485
ATF3,HIF1A,485
GATA2,HIF1A,584
GATA2,HIF1A,584
MAFG,HIF1A,522
MAFG,HIF1A,522
USF1,HIF1A,616
USF1,HIF1A,616
PGAM1,HIF1A,480
PGAM1,HIF1A,480
JUN,HIF1A,961
JUN,HIF1A,961
NCOA3,HIF1A,483
NCOA3,HIF1A,483
YBX1,HIF1A,421
YBX1,HIF1A,421
SQSTM1,HIF1A,591
SQSTM1,HIF1A,591
CDK1,HIF1A,793
CDK1,HIF1A,793
TSPO,HIF1A,482
TSPO,HIF1A,482
CSNK1D,HIF1A,440
CSNK1D,HIF1A,440
RUNX3,HIF1A,502
RUNX3,HIF1A,502
IDH1,HIF1A,688
IDH1,HIF1A,688
RACGAP1,HIF1A,617
RACGAP1,HIF1A,617
PTPRC,HIF1A,553
PTPRC,HIF1A,553
SLC2A1,HIF1A,902
SLC2A1,HIF1A,902
ANGPT1,HIF1A,653
ANGPT1,HIF1A,653
RALA,TUBA1A,458
RALA,TUBA1A,458
NFKBIA,TUBA1A,580
NFKBIA,TUBA1A,580
EEF1A2,TUBA1A,408
EEF1A2,TUBA1A,408
ACTA2,TUBA1A,404
ACTA2,TUBA1A,404
TUBB,TUBA1A,996
TUBB,TUBA1A,996
YBX1,TUBA1A,460
YBX1,TUBA1A,460
SQSTM1,TUBA1A,613
SQSTM1,TUBA1A,613
CYLD,TUBA1A,548
CYLD,TUBA1A,548
STMN1,TUBA1A,419
STMN1,TUBA1A,419
TOP2A,TUBA1A,537
TOP2A,TUBA1A,537
DPYSL2,TUBA1A,438
DPYSL2,TUBA1A,438
HIF1A,TUBA1A,454
HIF1A,TUBA1A,454
ATF3,NFE2,407
ATF3,NFE2,407
GATA2,NFE2,631
GATA2,NFE2,631
MAFG,NFE2,998
MAFG,NFE2,998
USF1,NFE2,458
USF1,NFE2,458
JUN,NFE2,625
JUN,NFE2,625
PRDX1,SESN3,710
PRDX1,SESN3,710
CD38,TET2,400
CD38,TET2,400
GATA2,TET2,662
GATA2,TET2,662
ETV6,TET2,794
ETV6,TET2,794
IDH1,TET2,914
IDH1,TET2,914
PTPRC,TET2,427
PTPRC,TET2,427
HIF1A,TET2,418
HIF1A,TET2,418
NFKBIA,SOD2,705
NFKBIA,SOD2,705
HSPE1,SOD2,674
HSPE1,SOD2,674
MRPS7,SOD2,545
MRPS7,SOD2,545
RPL8,SOD2,563
RPL8,SOD2,563
PRDX1,SOD2,745
PRDX1,SOD2,745
MRPL4,SOD2,795
MRPL4,SOD2,795
ECHS1,SOD2,500
ECHS1,SOD2,500
PGAM1,SOD2,422
PGAM1,SOD2,422
JUN,SOD2,456
JUN,SOD2,456
RPS29,SOD2,551
RPS29,SOD2,551
IDH1,SOD2,494
IDH1,SOD2,494
DHFR,SOD2,409
DHFR,SOD2,409
SLC2A1,SOD2,410
SLC2A1,SOD2,410
FDXR,SOD2,406
FDXR,SOD2,406
HIF1A,SOD2,639
HIF1A,SOD2,639
NFKBIA,APAF1,451
NFKBIA,APAF1,451
BAX,APAF1,922
BAX,APAF1,922
TRADD,APAF1,606
TRADD,APAF1,606
JUN,APAF1,573
JUN,APAF1,573
SQSTM1,APAF1,470
SQSTM1,APAF1,470
CDK1,APAF1,513
CDK1,APAF1,513
HIF1A,APAF1,423
HIF1A,APAF1,423
RPL8,DDIT3,506
RPL8,DDIT3,506
RPL37,DDIT3,505
RPL37,DDIT3,505
BAX,DDIT3,555
BAX,DDIT3,555
RPL38,DDIT3,517
RPL38,DDIT3,517
ATF3,DDIT3,988
ATF3,DDIT3,988
RPS21,DDIT3,503
RPS21,DDIT3,503
RPL39,DDIT3,537
RPL39,DDIT3,537
USF1,DDIT3,443
USF1,DDIT3,443
JUN,DDIT3,889
JUN,DDIT3,889
SQSTM1,DDIT3,440
SQSTM1,DDIT3,440
RPS29,DDIT3,546
RPS29,DDIT3,546
RPL31,DDIT3,510
RPL31,DDIT3,510
RPL36A,DDIT3,534
RPL36A,DDIT3,534
HIF1A,DDIT3,444
HIF1A,DDIT3,444
DUSP1,IER2,749
DUSP1,IER2,749
EGR1,IER2,908
EGR1,IER2,908
BTG2,IER2,636
BTG2,IER2,636
ATF3,IER2,718
ATF3,IER2,718
NR4A2,IER2,651
NR4A2,IER2,651
JUN,IER2,681
JUN,IER2,681
MRPS7,RAD23A,505
MRPS7,RAD23A,505
RPL8,RAD23A,471
RPL8,RAD23A,471
XPC,RAD23A,998
XPC,RAD23A,998
MRPL4,RAD23A,448
MRPL4,RAD23A,448
RPL38,RAD23A,619
RPL38,RAD23A,619
RPS21,RAD23A,620
RPS21,RAD23A,620
SQSTM1,RAD23A,645
SQSTM1,RAD23A,645
RPS29,RAD23A,462
RPS29,RAD23A,462
RPL31,RAD23A,587
RPL31,RAD23A,587
RPL36A,RAD23A,452
RPL36A,RAD23A,452
MCM5,TK1,809
MCM5,TK1,809
GMNN,TK1,418
GMNN,TK1,418
MND1,TK1,404
MND1,TK1,404
GINS2,TK1,572
GINS2,TK1,572
PKMYT1,TK1,601
PKMYT1,TK1,601
ASF1B,TK1,648
ASF1B,TK1,648
CDCA5,TK1,671
CDCA5,TK1,671
CENPU,TK1,453
CENPU,TK1,453
ALDH1A1,TK1,467
ALDH1A1,TK1,467
TPX2,TK1,792
TPX2,TK1,792
BUB1,TK1,707
BUB1,TK1,707
CKS1B,TK1,476
CKS1B,TK1,476
TYMS,TK1,991
TYMS,TK1,991
CDC25C,TK1,443
CDC25C,TK1,443
TTK,TK1,563
TTK,TK1,563
CEP55,TK1,802
CEP55,TK1,802
ZWINT,TK1,898
ZWINT,TK1,898
CKS2,TK1,653
CKS2,TK1,653
PCNA,TK1,579
PCNA,TK1,579
PTTG1,TK1,788
PTTG1,TK1,788
KIF20A,TK1,791
KIF20A,TK1,791
CDK1,TK1,840
CDK1,TK1,840
DHFR,TK1,885
DHFR,TK1,885
RACGAP1,TK1,494
RACGAP1,TK1,494
TOP2A,TK1,806
TOP2A,TK1,806
SLC2A1,TK1,479
SLC2A1,TK1,479
TRADD,DYRK1B,464
TRADD,DYRK1B,464
NFKBIA,IRF3,686
NFKBIA,IRF3,686
PRDX1,IRF3,481
PRDX1,IRF3,481
BAX,IRF3,880
BAX,IRF3,880
TRADD,IRF3,505
TRADD,IRF3,505
USF1,IRF3,401
USF1,IRF3,401
NFKB2,IRF3,633
NFKB2,IRF3,633
JUN,IRF3,998
JUN,IRF3,998
SQSTM1,IRF3,688
SQSTM1,IRF3,688
CYLD,IRF3,480
CYLD,IRF3,480
CALCOCO2,IRF3,704
CALCOCO2,IRF3,704
MAVS,IRF3,998
MAVS,IRF3,998
PTPRC,IRF3,423
PTPRC,IRF3,423
EEF1A2,RPS28,616
EEF1A2,RPS28,616
MRPS7,RPS28,961
MRPS7,RPS28,961
DDX60L,RPS28,456
DDX60L,RPS28,456
RPL8,RPS28,999
RPL8,RPS28,999
RPL37,RPS28,999
RPL37,RPS28,999
MRPL4,RPS28,934
MRPL4,RPS28,934
RPL38,RPS28,999
RPL38,RPS28,999
EIF4A2,RPS28,475
EIF4A2,RPS28,475
RPS21,RPS28,999
RPS21,RPS28,999
RPL39,RPS28,999
RPL39,RPS28,999
YBX1,RPS28,620
YBX1,RPS28,620
RPS29,RPS28,999
RPS29,RPS28,999
CSNK1D,RPS28,803
CSNK1D,RPS28,803
RPL31,RPS28,999
RPL31,RPS28,999
RPL36A,RPS28,999
RPL36A,RPS28,999
DDIT3,RPS28,507
DDIT3,RPS28,507
RAD23A,RPS28,611
RAD23A,RPS28,611
RALA,MYC,445
RALA,MYC,445
MCM5,MYC,430
MCM5,MYC,430
NFKBIA,MYC,639
NFKBIA,MYC,639
CD38,MYC,700
CD38,MYC,700
DUSP1,MYC,646
DUSP1,MYC,646
EGR1,MYC,873
EGR1,MYC,873
MT2A,MYC,515
MT2A,MYC,515
KLF2,MYC,779
KLF2,MYC,779
PRDX1,MYC,766
PRDX1,MYC,766
SAE1,MYC,493
SAE1,MYC,493
RHOB,MYC,403
RHOB,MYC,403
BTG2,MYC,403
BTG2,MYC,403
HK2,MYC,657
HK2,MYC,657
BAX,MYC,415
BAX,MYC,415
ALDH1A1,MYC,592
ALDH1A1,MYC,592
TPX2,MYC,456
TPX2,MYC,456
BUB1,MYC,608
BUB1,MYC,608
PPARD,MYC,626
PPARD,MYC,626
CKS1B,MYC,668
CKS1B,MYC,668
CLSPN,MYC,623
CLSPN,MYC,623
TYMS,MYC,459
TYMS,MYC,459
CHAF1B,MYC,595
CHAF1B,MYC,595
CDC25C,MYC,501
CDC25C,MYC,501
EIF4A2,MYC,482
EIF4A2,MYC,482
TUBB,MYC,574
TUBB,MYC,574
EIF4EBP1,MYC,624
EIF4EBP1,MYC,624
SP100,MYC,518
SP100,MYC,518
ATF3,MYC,737
ATF3,MYC,737
GATA2,MYC,569
GATA2,MYC,569
USF1,MYC,605
USF1,MYC,605
LMNA,MYC,605
LMNA,MYC,605
NFKB2,MYC,682
NFKB2,MYC,682
JUN,MYC,970
JUN,MYC,970
NCOA3,MYC,845
NCOA3,MYC,845
YBX1,MYC,823
YBX1,MYC,823
MED12,MYC,464
MED12,MYC,464
CTTN,MYC,493
CTTN,MYC,493
PCNA,MYC,464
PCNA,MYC,464
FSCN1,MYC,438
FSCN1,MYC,438
SQSTM1,MYC,551
SQSTM1,MYC,551
PTTG1,MYC,450
PTTG1,MYC,450
CDK1,MYC,755
CDK1,MYC,755
ETV6,MYC,531
ETV6,MYC,531
ITGB2,MYC,536
ITGB2,MYC,536
RUNX3,MYC,837
RUNX3,MYC,837
IDH1,MYC,740
IDH1,MYC,740
CYLD,MYC,406
CYLD,MYC,406
DHFR,MYC,526
DHFR,MYC,526
PBX1,MYC,419
PBX1,MYC,419
MAP2K4,MYC,443
MAP2K4,MYC,443
STMN1,MYC,524
STMN1,MYC,524
PTPRC,MYC,612
PTPRC,MYC,612
TOP2A,MYC,577
TOP2A,MYC,577
SLC2A1,MYC,700
SLC2A1,MYC,700
HIF1A,MYC,993
HIF1A,MYC,993
TUBA1A,MYC,525
TUBA1A,MYC,525
NFE2,MYC,404
NFE2,MYC,404
TET2,MYC,658
TET2,MYC,658
SOD2,MYC,628
SOD2,MYC,628
APAF1,MYC,527
APAF1,MYC,527
TK1,MYC,433
TK1,MYC,433
IRF3,MYC,481
IRF3,MYC,481
MCM5,PHB,598
MCM5,PHB,598
HSPE1,PHB,660
HSPE1,PHB,660
MRPS7,PHB,704
MRPS7,PHB,704
RPL8,PHB,419
RPL8,PHB,419
PRDX1,PHB,551
PRDX1,PHB,551
TYMS,PHB,406
TYMS,PHB,406
TUBB,PHB,516
TUBB,PHB,516
LMNA,PHB,437
LMNA,PHB,437
ECHS1,PHB,446
ECHS1,PHB,446
PCNA,PHB,403
PCNA,PHB,403
SQSTM1,PHB,434
SQSTM1,PHB,434
ATP5MC1,PHB,418
ATP5MC1,PHB,418
CDK1,PHB,426
CDK1,PHB,426
MAVS,PHB,505
MAVS,PHB,505
STMN1,PHB,492
STMN1,PHB,492
MYC,PHB,645
MYC,PHB,645
MCM5,POLD2,716
MCM5,POLD2,716
GINS2,POLD2,468
GINS2,POLD2,468
LIG1,POLD2,793
LIG1,POLD2,793
PCNA,POLD2,998
PCNA,POLD2,998
MYC,POLD2,453
MYC,POLD2,453
MCM5,MCM3,999
MCM5,MCM3,999
GMNN,MCM3,864
GMNN,MCM3,864
MND1,MCM3,400
MND1,MCM3,400
GINS2,MCM3,999
GINS2,MCM3,999
ESPL1,MCM3,569
ESPL1,MCM3,569
PKMYT1,MCM3,564
PKMYT1,MCM3,564
LIG1,MCM3,822
LIG1,MCM3,822
ASF1B,MCM3,832
ASF1B,MCM3,832
TMPO,MCM3,490
TMPO,MCM3,490
SAE1,MCM3,440
SAE1,MCM3,440
CDCA5,MCM3,568
CDCA5,MCM3,568
CENPU,MCM3,533
CENPU,MCM3,533
BUB1,MCM3,700
BUB1,MCM3,700
CKS1B,MCM3,421
CKS1B,MCM3,421
CLSPN,MCM3,952
CLSPN,MCM3,952
TYMS,MCM3,704
TYMS,MCM3,704
CHAF1B,MCM3,510
CHAF1B,MCM3,510
CDC25C,MCM3,454
CDC25C,MCM3,454
TUBB,MCM3,510
TUBB,MCM3,510
TTK,MCM3,590
TTK,MCM3,590
YBX1,MCM3,426
YBX1,MCM3,426
ZWINT,MCM3,682
ZWINT,MCM3,682
CKS2,MCM3,420
CKS2,MCM3,420
PCNA,MCM3,975
PCNA,MCM3,975
PTTG1,MCM3,564
PTTG1,MCM3,564
KIF20A,MCM3,654
KIF20A,MCM3,654
CDK1,MCM3,748
CDK1,MCM3,748
RACGAP1,MCM3,545
RACGAP1,MCM3,545
TOP2A,MCM3,753
TOP2A,MCM3,753
TK1,MCM3,685
TK1,MCM3,685
MYC,MCM3,672
MYC,MCM3,672
PHB,MCM3,443
PHB,MCM3,443
POLD2,MCM3,896
POLD2,MCM3,896
TOP2A,SOCS2,427
TOP2A,SOCS2,427
NFKBIA,TNFAIP3,870
NFKBIA,TNFAIP3,870
DUSP1,TNFAIP3,466
DUSP1,TNFAIP3,466
EGR1,TNFAIP3,411
EGR1,TNFAIP3,411
NFKBIZ,TNFAIP3,788
NFKBIZ,TNFAIP3,788
TRADD,TNFAIP3,850
TRADD,TNFAIP3,850
ATF3,TNFAIP3,543
ATF3,TNFAIP3,543
NFKB2,TNFAIP3,770
NFKB2,TNFAIP3,770
JUN,TNFAIP3,553
JUN,TNFAIP3,553
CD83,TNFAIP3,595
CD83,TNFAIP3,595
SQSTM1,TNFAIP3,435
SQSTM1,TNFAIP3,435
CYLD,TNFAIP3,674
CYLD,TNFAIP3,674
CALCOCO2,TNFAIP3,451
CALCOCO2,TNFAIP3,451
PTPRC,TNFAIP3,413
PTPRC,TNFAIP3,413
SOD2,TNFAIP3,480
SOD2,TNFAIP3,480
IRF3,TNFAIP3,422
IRF3,TNFAIP3,422
MYC,TNFAIP3,437
MYC,TNFAIP3,437
ACTA2,ZEB2,502
ACTA2,ZEB2,502
EREG,ZEB2,476
EREG,ZEB2,476
ALDH1A1,ZEB2,440
ALDH1A1,ZEB2,440
JUN,ZEB2,430
JUN,ZEB2,430
HIF1A,ZEB2,536
HIF1A,ZEB2,536
MYC,ZEB2,589
MYC,ZEB2,589
CYP51A1,FDFT1,997
CYP51A1,FDFT1,997
MVK,FDFT1,895
MVK,FDFT1,895
RPL8,FDFT1,428
RPL8,FDFT1,428
HMGCR,FDFT1,954
HMGCR,FDFT1,954
HMGCS1,FDFT1,988
HMGCS1,FDFT1,988
INSIG1,FDFT1,774
INSIG1,FDFT1,774
FDPS,FDFT1,995
FDPS,FDFT1,995
ACAT2,FDFT1,822
ACAT2,FDFT1,822
TUBA1A,FDFT1,412
TUBA1A,FDFT1,412
GMNN,UBE2T,693
GMNN,UBE2T,693
MND1,UBE2T,663
MND1,UBE2T,663
GINS2,UBE2T,577
GINS2,UBE2T,577
ASF1B,UBE2T,492
ASF1B,UBE2T,492
CDCA5,UBE2T,823
CDCA5,UBE2T,823
CENPU,UBE2T,526
CENPU,UBE2T,526
TPX2,UBE2T,799
TPX2,UBE2T,799
BUB1,UBE2T,730
BUB1,UBE2T,730
CKS1B,UBE2T,717
CKS1B,UBE2T,717
TYMS,UBE2T,671
TYMS,UBE2T,671
CDC25C,UBE2T,432
CDC25C,UBE2T,432
TTK,UBE2T,565
TTK,UBE2T,565
CEP55,UBE2T,768
CEP55,UBE2T,768
ZWINT,UBE2T,730
ZWINT,UBE2T,730
CKS2,UBE2T,610
CKS2,UBE2T,610
PCNA,UBE2T,603
PCNA,UBE2T,603
PTTG1,UBE2T,854
PTTG1,UBE2T,854
KIF20A,UBE2T,687
KIF20A,UBE2T,687
CDK1,UBE2T,844
CDK1,UBE2T,844
RACGAP1,UBE2T,516
RACGAP1,UBE2T,516
TOP2A,UBE2T,672
TOP2A,UBE2T,672
TK1,UBE2T,705
TK1,UBE2T,705
EEF1A2,ENO1,489
EEF1A2,ENO1,489
PFKFB4,ENO1,624
PFKFB4,ENO1,624
HSPE1,ENO1,710
HSPE1,ENO1,710
RPL8,ENO1,514
RPL8,ENO1,514
PRDX1,ENO1,724
PRDX1,ENO1,724
HK2,ENO1,724
HK2,ENO1,724
MRPL4,ENO1,660
MRPL4,ENO1,660
TYMS,ENO1,443
TYMS,ENO1,443
TUBB,ENO1,617
TUBB,ENO1,617
FDPS,ENO1,453
FDPS,ENO1,453
GUK1,ENO1,469
GUK1,ENO1,469
ECHS1,ENO1,482
ECHS1,ENO1,482
PGAM1,ENO1,996
PGAM1,ENO1,996
JUN,ENO1,596
JUN,ENO1,596
AHNAK,ENO1,534
AHNAK,ENO1,534
PCNA,ENO1,542
PCNA,ENO1,542
RPS29,ENO1,454
RPS29,ENO1,454
IDH1,ENO1,765
IDH1,ENO1,765
STMN1,ENO1,480
STMN1,ENO1,480
SLC2A1,ENO1,695
SLC2A1,ENO1,695
DPYSL2,ENO1,478
DPYSL2,ENO1,478
HIF1A,ENO1,586
HIF1A,ENO1,586
TUBA1A,ENO1,769
TUBA1A,ENO1,769
SOD2,ENO1,543
SOD2,ENO1,543
TK1,ENO1,429
TK1,ENO1,429
MYC,ENO1,592
MYC,ENO1,592
PHB,ENO1,618
PHB,ENO1,618
EREG,IGF1R,759
EREG,IGF1R,759
HMGCR,IGF1R,405
HMGCR,IGF1R,405
EIF4EBP1,IGF1R,506
EIF4EBP1,IGF1R,506
JUN,IGF1R,574
JUN,IGF1R,574
PCNA,IGF1R,598
PCNA,IGF1R,598
PTPRC,IGF1R,572
PTPRC,IGF1R,572
SLC2A1,IGF1R,623
SLC2A1,IGF1R,623
ANGPT1,IGF1R,732
ANGPT1,IGF1R,732
HIF1A,IGF1R,752
HIF1A,IGF1R,752
MYC,IGF1R,712
MYC,IGF1R,712
SOCS2,IGF1R,787
SOCS2,IGF1R,787
KLC4,APLP2,455
KLC4,APLP2,455
CD200,APLP2,469
CD200,APLP2,469
TYMS,SLC29A1,560
TYMS,SLC29A1,560
TK1,SLC29A1,628
TK1,SLC29A1,628
MCM5,NUSAP1,523
MCM5,NUSAP1,523
GMNN,NUSAP1,572
GMNN,NUSAP1,572
MND1,NUSAP1,590
MND1,NUSAP1,590
GINS2,NUSAP1,661
GINS2,NUSAP1,661
ESPL1,NUSAP1,704
ESPL1,NUSAP1,704
