gene1,gene2,combined_score
CKS1B,TYMS,572
CKS1B,TYMS,572
MCM5,CHAF1B,708
MCM5,CHAF1B,708
GMNN,CHAF1B,608
GMNN,CHAF1B,608
GINS2,CHAF1B,680
GINS2,CHAF1B,680
ASF1B,CHAF1B,993
ASF1B,CHAF1B,993
THOC3,CHAF1B,414
THOC3,CHAF1B,414
CDCA5,CHAF1B,447
CDCA5,CHAF1B,447
CENPU,CHAF1B,426
CENPU,CHAF1B,426
BUB1,CHAF1B,426
BUB1,CHAF1B,426
CLSPN,CHAF1B,537
CLSPN,CHAF1B,537
TYMS,CHAF1B,618
TYMS,CHAF1B,618
MCM5,CDC25C,488
MCM5,CDC25C,488
MND1,CDC25C,468
MND1,CDC25C,468
GINS2,CDC25C,464
GINS2,CDC25C,464
ESPL1,CDC25C,618
ESPL1,CDC25C,618
PKMYT1,CDC25C,822
PKMYT1,CDC25C,822
ASF1B,CDC25C,401
ASF1B,CDC25C,401
RHOB,CDC25C,523
RHOB,CDC25C,523
CDCA5,CDC25C,739
CDCA5,CDC25C,739
CENPU,CDC25C,486
CENPU,CDC25C,486
TPX2,CDC25C,644
TPX2,CDC25C,644
BUB1,CDC25C,921
BUB1,CDC25C,921
CKS1B,CDC25C,519
CKS1B,CDC25C,519
CLSPN,CDC25C,709
CLSPN,CDC25C,709
TYMS,CDC25C,457
TYMS,CDC25C,457
CYP51A1,HMGCS1,984
CYP51A1,HMGCS1,984
MVK,HMGCS1,920
MVK,HMGCS1,920
HMGCR,HMGCS1,999
HMGCR,HMGCS1,999
NFKBIA,NFKBIZ,781
NFKBIA,NFKBIZ,781
DUSP1,NFKBIZ,638
DUSP1,NFKBIZ,638
EGR1,NFKBIZ,532
EGR1,NFKBIZ,532
BTG2,NFKBIZ,547
BTG2,NFKBIZ,547
EEF1A2,EIF4A2,653
EEF1A2,EIF4A2,653
RPL38,EIF4A2,426
RPL38,EIF4A2,426
CLSPN,EIF4A2,422
CLSPN,EIF4A2,422
CD38,IL3RA,792
CD38,IL3RA,792
ALDH1A2,RARB,642
ALDH1A2,RARB,642
ALDH1A1,RARB,534
ALDH1A1,RARB,534
EGR1,NFAT5,550
EGR1,NFAT5,550
NFKBIA,TUBB,637
NFKBIA,TUBB,637
EEF1A2,TUBB,427
EEF1A2,TUBB,427
RPL8,TUBB,833
RPL8,TUBB,833
RPL37,TUBB,807
RPL37,TUBB,807
RPL38,TUBB,817
RPL38,TUBB,817
CFP,POFUT2,529
CFP,POFUT2,529
EGR1,EIF4EBP1,405
EGR1,EIF4EBP1,405
BUB1,EIF4EBP1,469
BUB1,EIF4EBP1,469
EIF4A2,EIF4EBP1,933
EIF4A2,EIF4EBP1,933
NFKBIA,TRADD,640
NFKBIA,TRADD,640
BAX,TRADD,401
BAX,TRADD,401
RALA,PLD1,984
RALA,PLD1,984
KLC4,PLD1,515
KLC4,PLD1,515
HSPE1,SP100,591
HSPE1,SP100,591
DDX60L,SP100,667
DDX60L,SP100,667
SAE1,SP100,629
SAE1,SP100,629
NFKBIA,ATF3,676
NFKBIA,ATF3,676
DUSP1,ATF3,833
DUSP1,ATF3,833
EGR1,ATF3,873
EGR1,ATF3,873
BHLHE40,ATF3,462
BHLHE40,ATF3,462
RHOB,ATF3,405
RHOB,ATF3,405
BTG2,ATF3,639
BTG2,ATF3,639
NFKBIZ,ATF3,608
NFKBIZ,ATF3,608
DUSP1,NR4A2,677
DUSP1,NR4A2,677
EGR1,NR4A2,808
EGR1,NR4A2,808
BHLHE40,NR4A2,401
BHLHE40,NR4A2,401
BTG2,NR4A2,446
BTG2,NR4A2,446
ATF3,NR4A2,750
ATF3,NR4A2,750
CYP51A1,INSIG1,840
CYP51A1,INSIG1,840
MVK,INSIG1,670
MVK,INSIG1,670
ASF1B,INSIG1,468
ASF1B,INSIG1,468
HMGCR,INSIG1,999
HMGCR,INSIG1,999
CHAF1B,INSIG1,736
CHAF1B,INSIG1,736
HMGCS1,INSIG1,885
HMGCS1,INSIG1,885
P2RX1,GATA2,413
P2RX1,GATA2,413
DUSP1,GATA2,434
DUSP1,GATA2,434
EGR1,GATA2,494
EGR1,GATA2,494
KLF2,GATA2,495
KLF2,GATA2,495
MECOM,GATA2,695
MECOM,GATA2,695
CPA3,GATA2,752
CPA3,GATA2,752
HSPE1,RPS21,408
HSPE1,RPS21,408
MRPS7,RPS21,951
MRPS7,RPS21,951
DDX60L,RPS21,465
DDX60L,RPS21,465
RPL8,RPS21,999
RPL8,RPS21,999
RPL37,RPS21,999
RPL37,RPS21,999
MRPL4,RPS21,950
MRPL4,RPS21,950
RPL38,RPS21,999
RPL38,RPS21,999
CFP,C5AR1,766
CFP,C5AR1,766
CYP51A1,FDPS,886
CYP51A1,FDPS,886
MVK,FDPS,911
MVK,FDPS,911
HMGCR,FDPS,967
HMGCR,FDPS,967
HMGCS1,FDPS,997
HMGCS1,FDPS,997
INSIG1,FDPS,742
INSIG1,FDPS,742
ATF3,MAFG,561
ATF3,MAFG,561
CD38,CD300A,445
CD38,CD300A,445
IL3RA,GAB2,595
IL3RA,GAB2,595
MRPS7,RPL39,779
MRPS7,RPL39,779
RPL8,RPL39,999
RPL8,RPL39,999
RPL37,RPL39,998
RPL37,RPL39,998
MRPL4,RPL39,698
MRPL4,RPL39,698
RPL38,RPL39,999
RPL38,RPL39,999
TUBB,RPL39,806
TUBB,RPL39,806
RPS21,RPL39,999
RPS21,RPL39,999
TYMS,GUK1,502
TYMS,GUK1,502
CYP51A1,ACAT2,732
CYP51A1,ACAT2,732
MVK,ACAT2,885
MVK,ACAT2,885
HMGCR,ACAT2,900
HMGCR,ACAT2,900
ACSM1,ACAT2,448
ACSM1,ACAT2,448
HMGCS1,ACAT2,998
HMGCS1,ACAT2,998
INSIG1,ACAT2,497
INSIG1,ACAT2,497
FDPS,ACAT2,829
FDPS,ACAT2,829
EGR1,USF1,628
EGR1,USF1,628
BHLHE40,USF1,443
BHLHE40,USF1,443
ATF3,USF1,686
ATF3,USF1,686
GATA2,USF1,577
GATA2,USF1,577
NFKBIA,LMNA,501
NFKBIA,LMNA,501
TMPO,LMNA,989
TMPO,LMNA,989
TUBB,LMNA,454
TUBB,LMNA,454
MRPS7,ECHS1,450
MRPS7,ECHS1,450
ACSM1,ECHS1,446
ACSM1,ECHS1,446
MRPL4,ECHS1,427
MRPL4,ECHS1,427
HMGCS1,ECHS1,701
HMGCS1,ECHS1,701
