ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0044281,small molecule metabolic process,23/33,37/182,0.6216216216216216,3.428337428337428,7.766565653457497,2.627596524878631e-12,1.0195074516529088e-9,9.874231151386014e-10,ENO1/IDH1/HMGCR/SLC2A1/PGAM1/ACAT2/INSIG1/DHFR/FDPS/HK2/ECHS1/FDFT1/FDXR/HMGCS1/MVK/CYP51A1/PFKFB4/TSPO/STAR/LIPC/GUK1/ACSM1/BOLA3,23
GO:1902652,secondary alcohol metabolic process,11/33,12/182,0.9166666666666666,5.055555555555555,6.822124495937203,1.5334099485571003e-8,2.9748153002007747e-6,2.8811965875520254e-6,IDH1/HMGCR/INSIG1/FDPS/FDFT1/FDXR/HMGCS1/MVK/CYP51A1/STAR/LIPC,11
GO:0044283,small molecule biosynthetic process,15/33,22/182,0.6818181818181818,3.7603305785123964,6.480605256839851,2.4623791254127975e-8,3.1846770022005516e-6,3.084453851832873e-6,ENO1/HMGCR/PGAM1/INSIG1/DHFR/FDPS/FDFT1/FDXR/HMGCS1/MVK/CYP51A1/PFKFB4/STAR/LIPC/ACSM1,15
GO:0006066,alcohol metabolic process,12/33,15/182,0.8,4.412121212121212,6.474630186984193,5.88695096892517e-8,4.723132436640945e-6,4.574493434294132e-6,IDH1/HMGCR/INSIG1/DHFR/FDPS/FDFT1/FDXR/HMGCS1/MVK/CYP51A1/STAR/LIPC,12
GO:0008203,cholesterol metabolic process,10/33,11/182,0.9090909090909091,5.013774104683195,6.445466229346339,1.0468368344939383e-7,4.723132436640945e-6,4.574493434294132e-6,HMGCR/INSIG1/FDPS/FDFT1/FDXR/HMGCS1/MVK/CYP51A1/STAR/LIPC,10
GO:0016125,sterol metabolic process,10/33,11/182,0.9090909090909091,5.013774104683195,6.445466229346339,1.0468368344939383e-7,4.723132436640945e-6,4.574493434294132e-6,HMGCR/INSIG1/FDPS/FDFT1/FDXR/HMGCS1/MVK/CYP51A1/STAR/LIPC,10
GO:0006082,organic acid metabolic process,13/33,18/182,0.7222222222222222,3.9831649831649827,6.257411619118434,1.0955719569527964e-7,4.723132436640945e-6,4.574493434294132e-6,ENO1/IDH1/SLC2A1/PGAM1/ACAT2/INSIG1/DHFR/HK2/ECHS1/PFKFB4/STAR/LIPC/ACSM1,13
GO:0019752,carboxylic acid metabolic process,13/33,18/182,0.7222222222222222,3.9831649831649827,6.257411619118434,1.0955719569527964e-7,4.723132436640945e-6,4.574493434294132e-6,ENO1/IDH1/SLC2A1/PGAM1/ACAT2/INSIG1/DHFR/HK2/ECHS1/PFKFB4/STAR/LIPC/ACSM1,13
GO:0043436,oxoacid metabolic process,13/33,18/182,0.7222222222222222,3.9831649831649827,6.257411619118434,1.0955719569527964e-7,4.723132436640945e-6,4.574493434294132e-6,ENO1/IDH1/SLC2A1/PGAM1/ACAT2/INSIG1/DHFR/HK2/ECHS1/PFKFB4/STAR/LIPC/ACSM1,13
GO:0008202,steroid metabolic process,11/33,14/182,0.7857142857142857,4.333333333333333,6.092439783904892,3.6125040735637045e-7,1.2742287095842885e-5,1.234128185896883e-5,HMGCR/INSIG1/FDPS/FDFT1/FDXR/HMGCS1/MVK/CYP51A1/TSPO/STAR/LIPC,11
GO:0072521,purine-containing compound metabolic process,11/33,14/182,0.7857142857142857,4.333333333333333,6.092439783904892,3.6125040735637045e-7,1.2742287095842885e-5,1.234128185896883e-5,ENO1/IDH1/HMGCR/PGAM1/HK2/HMGCS1/MVK/PFKFB4/TSPO/GUK1/ACSM1,11
GO:0006694,steroid biosynthetic process,10/33,12/182,0.8333333333333334,4.595959595959597,6.0490070250402095,5.514316032685073e-7,1.7829621839015073e-5,1.726851599709273e-5,HMGCR/INSIG1/FDPS/FDFT1/FDXR/HMGCS1/MVK/CYP51A1/TSPO/STAR,10
GO:0006629,lipid metabolic process,15/33,26/182,0.5769230769230769,3.181818181818181,5.639570816949625,7.137102769263012e-7,2.1301506726723453e-5,2.0631139179165147e-5,IDH1/HMGCR/ACAT2/INSIG1/FDPS/ECHS1/FDFT1/FDXR/HMGCS1/MVK/CYP51A1/TSPO/STAR/LIPC/ACSM1,15
GO:0008610,lipid biosynthetic process,13/33,20/182,0.65,3.584848484848485,5.7503688787945,7.800918462915526e-7,2.1619688311508743e-5,2.0939307453089044e-5,IDH1/HMGCR/INSIG1/FDPS/FDFT1/FDXR/HMGCS1/MVK/CYP51A1/TSPO/STAR/LIPC/ACSM1,13
GO:0019637,organophosphate metabolic process,14/33,24/182,0.5833333333333334,3.217171717171717,5.471161448051601,1.704161289854976e-6,4.408097203091538e-5,4.269372494584045e-5,ENO1/IDH1/HMGCR/PGAM1/FDPS/HK2/FDFT1/HMGCS1/MVK/PFKFB4/TSPO/LIPC/GUK1/ACSM1,14
GO:0006753,nucleoside phosphate metabolic process,11/33,16/182,0.6875,3.7916666666666665,5.487475970162657,3.3588047551881962e-6,7.665977911841295e-5,7.424726300942329e-5,ENO1/IDH1/HMGCR/PGAM1/HK2/HMGCS1/MVK/PFKFB4/TSPO/GUK1/ACSM1,11
GO:0032787,monocarboxylic acid metabolic process,11/33,16/182,0.6875,3.7916666666666665,5.487475970162657,3.3588047551881962e-6,7.665977911841295e-5,7.424726300942329e-5,ENO1/IDH1/PGAM1/ACAT2/INSIG1/HK2/ECHS1/PFKFB4/STAR/LIPC/ACSM1,11
GO:0055086,nucleobase-containing small molecule metabolic process,11/33,17/182,0.6470588235294118,3.5686274509803924,5.220195059663752,8.369326692724004e-6,1.8040548648760632e-4,1.7472804849722045e-4,ENO1/IDH1/HMGCR/PGAM1/HK2/HMGCS1/MVK/PFKFB4/TSPO/GUK1/ACSM1,11
GO:0006091,generation of precursor metabolites and energy,8/33,11/182,0.7272727272727273,4.011019283746557,4.835205620230301,5.9437274914625936e-5,0.0012137717193092033,0.0011755738030205796,ENO1/IDH1/SOD2/PGAM1/HK2/FDXR/PFKFB4/ACSM1,8
GO:0006163,purine nucleotide metabolic process,7/33,10/182,0.7,3.8606060606060604,4.367138386593869,2.8874717131070787e-4,0.005601695123427732,0.0054254073767327745,ENO1/IDH1/PGAM1/HK2/PFKFB4/TSPO/GUK1,7
GO:0009117,nucleotide metabolic process,7/33,11/182,0.6363636363636364,3.5096418732782366,4.030075315672282,6.900394900038509e-4,0.012749301053404482,0.012348075084279438,ENO1/IDH1/PGAM1/HK2/PFKFB4/TSPO/GUK1,7
GO:0005975,carbohydrate metabolic process,7/33,12/182,0.5833333333333334,3.217171717171717,3.7296546123492305,0.0014386491371565563,0.02537253932803381,0.02457405463946845,ENO1/IDH1/SLC2A1/PGAM1/HK2/PFKFB4/BOLA3,7
GO:0005996,monosaccharide metabolic process,6/33,10/182,0.6,3.309090909090909,3.5251689095175083,0.0028451278681707335,0.04599623386876019,0.04454871267267333,ENO1/SLC2A1/PGAM1/HK2/PFKFB4/BOLA3,6
GO:0006644,phospholipid metabolic process,6/33,10/182,0.6,3.309090909090909,3.5251689095175083,0.0028451278681707335,0.04599623386876019,0.04454871267267333,IDH1/FDPS/FDFT1/HMGCS1/MVK/LIPC,6
GO:0006793,phosphorus metabolic process,15/33,45/182,0.3333333333333333,1.8383838383838382,3.0422296467820553,0.0033048067461961396,0.04931788528938855,0.047765830299272144,ENO1/IDH1/HMGCR/PGAM1/FDPS/HK2/FDFT1/HMGCS1/MVK/PFKFB4/TSPO/LIPC/GUK1/ACSM1/FES,15
GO:0006796,phosphate-containing compound metabolic process,15/33,45/182,0.3333333333333333,1.8383838383838382,3.0422296467820553,0.0033048067461961396,0.04931788528938855,0.047765830299272144,ENO1/IDH1/HMGCR/PGAM1/FDPS/HK2/FDFT1/HMGCS1/MVK/PFKFB4/TSPO/LIPC/GUK1/ACSM1/FES,15
