gene_name,significant,difference,logpval
ZNF558,+,0.34646463394165,1.47108385623336
CENPI,+,-0.49002742767334,2.16219451003677
FMOD,+,4.01917886734009,2.07709988692936
ZNF419,+,0.485296249389648,1.97941767055841
ORMDL1,+,0.643197774887085,1.37621609180676
DOCK8,+,0.352408170700073,1.55953837444728
AACS,+,-0.639096260070801,2.53280596418812
HSD11B2,+,-0.77989536523819,1.62377933897934
CCNA2,+,-0.513965845108032,1.62199764828534
PDE4B,+,0.987789988517761,1.30801823386886
C10orf105,+,0.931765139102936,1.36905971916968
MT1H,+,0.751805782318115,2.88166397963288
L3MBTL1,+,0.251526117324829,1.41581026231402
GPR162,+,0.90921413898468,1.50687586152034
TAS2R4,+,0.814956426620483,2.47952782235681
LST1,+,-0.704684257507324,1.71655039662103
CROT,+,0.789714336395264,1.83999892007009
CBFA2T2,+,0.379140138626099,1.89279464370584
DKFZp313F2116,+,0.379140138626099,1.89279464370584
FBXO32,+,0.856629967689514,1.66768640665682
ZNF580,+,0.552774429321289,1.40151865211019
RPL38,+,0.299006223678589,2.27956022696933
ACLY,+,-0.520568609237671,1.48011382592518
GREB1,+,0.552641749382019,1.68047203847965
CCDC180,+,0.789844870567322,1.3533752411964
MMP2,+,0.894926071166992,1.80791404112883
NR4A1,+,2.55020117759705,2.53732056778749
CES4A,+,0.780471086502075,1.36448685920279
NEK3,+,0.628489136695862,1.9666939889097
NDC80,+,-0.412893772125244,2.00746514896807
ZBTB22,+,0.337491035461426,1.42241563072093
GIMAP8,+,1.42964100837708,1.88642824344837
FBN1,+,0.655047416687012,1.38818268080117
SPATA21,+,0.327525615692139,1.86665296810274
PDHB,+,-0.305970907211304,1.47526581107665
INTU,+,0.863250255584717,1.96554759848538
ST3GAL1,+,0.719552993774414,1.55977866590366
TDRD6,+,1.84009325504303,1.38166568977537
DPH7,+,0.162914991378784,1.43130957756232
QRICH2,+,0.561580657958984,1.58427733686509
DNA2,+,-0.304026126861572,1.41466718073203
RARB,+,0.44074022769928,1.48950102293422
ZBTB43,+,0.365340709686279,1.62824696585657
CA3,+,1.60028100013733,2.48539061165666
CA2,+,1.16504848003387,2.48590957924976
CD83,+,-0.25067925453186,1.42345988010581
AHNAK,+,0.627898216247559,1.87492344238658
CAMTA2,+,0.44645094871521,1.63116863289379
SPC24,+,-0.476855039596558,1.37141506537733
NTHL1,+,-0.38021981716156,1.99689211928834
ACAP3,+,0.287198543548584,1.76342242866324
RPLP2,+,0.200621604919434,1.34093228442512
DCAF5,+,0.511107206344604,1.45270665040269
WDR22,+,0.511107206344604,1.45270665040269
VAMP5,+,0.685516595840454,1.89166485419315
GPR37L1,+,0.451690375804901,1.44108398082336
ORAI2,+,0.26789927482605,1.48097566810501
ZNF547,+,0.461787939071655,1.44353742371455
MAP2K4,+,0.220056295394897,1.80791401666133
LIG4,+,0.447582483291626,1.54217182122429
ZNF337,+,0.258611917495728,1.39542162054209
WEE1,+,-0.51737904548645,1.43423187897815
CAPS,+,0.682890772819519,1.94340526956232
CCDC84,+,0.27582311630249,1.78005580044607
HIST2H2AA3,+,0.818918347358704,1.95395279774431
HPDL,+,-0.47081995010376,1.59241997221319
MXD4,+,0.592292070388794,1.60676840640784
ZNF843,+,0.944593966007233,2.09173196654819
DGKD,+,0.416237354278564,1.37437054643437
CELA2B,+,2.44967103004456,1.60310649925448
CNR2,+,0.818225860595703,2.22478835842037
ZNF471,+,1.20850348472595,1.58339487755316
AGAP5,+,0.408903956413269,1.67041207250291
WDFY2,+,0.618397235870361,2.03836430485593
NRSN2,+,1.2049378156662,1.92005955577839
DGKE,+,0.837456464767456,1.9639343680667
PLK1,+,-0.471499681472778,1.54686361761222
STX16-NPEPL1,+,1.7349466085434,3.17290893154405
PPP1R3F,+,0.324549078941345,1.55386031719474
ANXA7,+,0.265112638473511,1.64355253310716
NASP,+,-0.233998775482178,1.54122685912283
GTSE1,+,-0.370952844619751,1.87304055657303
POLE2,+,-0.307419776916504,1.61332412835008
TMEM41B,+,-0.62275230884552,1.59714437998377
HPS1,+,0.324717998504639,1.35984352668221
C15orf27,+,0.44074022769928,1.3347234016332
IL2RA,+,0.881657004356384,1.30622903690633
NPHP3,+,0.713692426681519,2.37274104619861
BRI3,+,0.341562986373901,1.41865178741811
PLD1,+,0.176247835159302,1.44902650976428
pp13439,+,0.176247835159302,1.44902650976428
FAM198B,+,0.777421593666077,2.32705002409789
RHOBTB1,+,0.214541435241699,1.8886077414599
ARID5B,+,1.49914526939392,2.50895348443747
RFC3,+,-0.439852476119995,1.36425107425285
INO80B,+,1.99367260932922,1.57834903686824
PPIAL4D,+,-0.308467984199524,1.47197129821279
CD40LG,+,1.39251708984375,1.3165235819433
TNFSF5,+,1.39251708984375,1.3165235819433
