gene,logFC,QValue,KO_condition
DUSP5,-0.759043453788955,0.047551774365601,CCNC
PRNP,-0.644322948618612,0.0339840284120989,CCNC
LPAR5,-0.909831017869454,0.00319596203180152,CCNC
RASGRP3,-0.866769761116444,0.00614854670052341,CCNC
G3BP2,-0.608391587229985,0.0441175381385966,CCNC
NRIP1,-0.639556060506456,0.0310938257680059,CCNC
IL21R,1.35610924753676,4.48931811927903e-06,CCNC
ZG16B,-1.51014693337243,0.00548385534433316,CCNC
DPH3,-0.620285090669083,0.047397999100227,CCNC
MKKS,-0.692968739919003,0.0341485930935557,CCNC
ABLIM3,-0.993822213582737,0.0011068285825637401,CCNC
RSPH3,-0.81031403352164,0.0126964721965346,CCNC
SERPINE1,-1.38433133817441,6.5428710228783e-05,CCNC
ABCA8,-0.748047660888876,0.0155646439514986,CCNC
PROX1,1.14649733506821,0.0138719756649873,CCNC
SLIT3,-1.52048003222415,0.00293175014307459,CCNC
CDCP1,-0.723385982083597,0.0119263276452185,CCNC
PRXL2A,1.17131510055659,0.00684570797966654,CCNC
TMCC2,0.806929466796018,0.00552612483095023,CCNC
POU3F2,1.18748613174143,0.0158028944264868,CCNC
KRT12,-1.31071991030089,0.00689616063428283,CCNC
NEO1,1.10194598607531,4.58888224049365e-05,CCNC
KIF1A,-1.12394670908507,0.0385434574434343,CCNC
F8,-0.88687724234799,0.00424197377203414,CCNC
MUC4,0.652300711046126,0.0271245027196034,CCNC
EFHD1,1.09473025463459,5.56497884873609e-05,CCNC
OR2AT4,-0.648962388331818,0.0448554163026599,CCNC
UBALD2,0.599329961671622,0.0414152757061377,CCNC
PELI2,0.640052910506102,0.043286018781561,CCNC
CST3,0.609312667132874,0.0385434574434343,CCNC
ITM2A,0.84425963350619,0.00667907424564085,CCNC
CNKSR3,-1.0473078779191,0.000235759828028975,CCNC
PI15,0.926400813360163,0.0414163345552869,CCNC
CYTIP,1.06689264441821,0.0293678207848085,CCNC
ANKRD44,-1.40070568141582,0.00732152820969499,CCNC
CHCHD10,0.800653017303427,0.00556064432212339,CCNC
FAT1,-0.624100180798598,0.0363714376765741,CCNC
ANKRD20A3P,1.06563140953397,0.028865239168182,CCNC
ULBP2,1.16194717926905,0.00552301011153567,CCNC
FCGBP,1.31123278094057,0.00174333059004948,CCNC
ANKRD20A2P,1.10331050636436,0.0169458914537874,CCNC
SLC24A2,-0.729047677938207,0.0330578706279847,CCNC
SYNE2,1.12013247321962,1.38159078562651e-05,CCNC
ACSM1,0.727706608406986,0.0254145070502248,CCNC
AURKB,0.680282400107023,0.0165591122084872,CCNC
H1-10,0.582190018597516,0.0476995384462578,CCNC
ARHGAP22,0.884697857767888,0.0106684930466431,CCNC
OTOP2,1.7612566185128,4.62776063544371e-05,CCNC
PPFIBP2,0.903403773528031,0.00461095682560111,CCNC
SIGLEC10,0.746925831176408,0.0250513499242369,CCNC
TNS4,1.57461149652323,4.09258376401427e-06,CCNC
PCSK9,0.941017805510402,0.000210058556254396,CCNC
TBC1D4,0.69263303002559,0.0260619392784232,CCNC
NKD2,1.1428410858977,0.0195610818219108,CCNC
MYL9,1.33269192557862,0.00124515596076425,CCNC
NUP85,0.674687269914216,0.0155646439514986,CCNC
GGA3,0.60002724970931,0.037360860631788,CCNC
ADRB1,1.07483959422154,0.0299162410874882,CCNC
GYPB,0.897258430746933,0.00471358049126482,CCNC
B4GALT6,1.0326984508784,0.00845159106764989,CCNC
YBX3,0.708841324201309,0.00943079429826522,CCNC
CATSPERB,0.819499303963148,0.0143539914913524,CCNC
YPEL3,0.862567132892594,0.0042210746775631,CCNC
HEPACAM2,1.01678820018124,0.0045079337251271,CCNC
SESTD1,0.777777421595799,0.0423498882246302,CCNC
ZEB1,0.805496316196879,0.00580612897970419,CCNC
NLRX1,0.873229481433239,0.0299957697167426,CCNC
HCN3,0.659210029342675,0.0358608124879427,CCNC
UTS2B,0.780764275643187,0.0366286337568748,CCNC
ZNF90,0.890650579958952,0.00703490451788236,CCNC
CCDC61,0.731046374655001,0.0283865255134308,CCNC
YDJC,0.605532712590632,0.0384410901840079,CCNC
ADGRD1,0.775474881993016,0.00453060467896433,CCNC
CRELD2,0.734615289882405,0.0281003530488788,CCNC
TMPRSS13,0.986771769844107,0.0408076204233624,CCNC
PAGE2B,0.965820138482658,0.043286018781561,CCNC
GDF2,1.10452516269834,0.0166367668500071,CCNC
HSPA5,0.736389500710029,0.017798024005131,CCNC
ITGA3,-1.36345024574024,0.00600018976356777,CCNC
YBX1,0.726063058789676,0.00836375514425933,CCNC
SLC5A2,0.589617553024786,0.0476431513846015,CCNC
CAPG,0.724472038899866,0.0106684930466431,CCNC
ANO5,0.905446718642054,0.0187421189655645,CCNC
BCL6B,0.91803167389088,0.028865239168182,CCNC
GOLGA2,0.651816817271059,0.0206637628597123,CCNC
SCML2,0.602257975169115,0.0435513521501771,CCNC
PDIA2,1.04544368932182,0.0425617010332453,CCNC
TANC1,1.04426780997503,0.00703026702379044,CCNC
TMEM161A,0.637608601779402,0.0320009846067645,CCNC
FAM72B,0.648689988767261,0.0363898910620873,CCNC
SNAPC3,0.593369654125601,0.0444881504713468,CCNC
SNRPA,0.65305413772982,0.0195610818219108,CCNC
NRARP,0.756853039769689,0.0284650155915372,CCNC
COL21A1,1.27916723915009,0.000717128493836997,CCNC
EEPD1,1.03818216597657,0.0207411981435664,CCNC
ZSWIM6,0.633513533144917,0.0454601604564831,CCNC
NUCB1,0.585458676583939,0.0464947977923899,CCNC
OGFRL1,1.03533204909323,0.0362583666207564,CCNC
SUMO2,0.6257012981299,0.0292315249434589,CCNC
PNRC1,0.623475467737597,0.0341089874455486,CCNC
LINGO1,1.06654187069784,0.00832383620695523,CCNC
RIPOR3,0.609599689402939,0.0363714376765741,CCNC
B3GAT1,0.926638972961323,0.00580612897970419,CCNC
HSD17B8,0.973971630302573,0.00746173223819599,CCNC
PTMA,0.637851285754398,0.0285732205503785,CCNC
CLDN11,1.32255184273737,0.00832383620695523,CCNC
MMP14,0.785208229921286,0.0255565729188962,CCNC
IL23A,0.72931670120817,0.016490360209222,CCNC
SLC27A6,1.7623962048893,2.89310202921913e-06,CCNC
TMC7,0.819468145919273,0.0431888587221246,CCNC
CEP70,0.628450986082847,0.0423483171426403,CCNC
ACP6,1.32356520791282,0.000921614079504823,CCNC
UNKL,0.863914959358175,0.00107628047682222,CCNC
MED8,0.647668048653053,0.0244737200158701,CCNC
CACNA2D4,-1.16594677547166,0.0105729558694463,CCNC
SYNPO,1.15573420719859,0.017474777459456,CCNC
FAM72A,0.661082663326511,0.036693994008027,CCNC
ALG3,0.781609024627321,0.0042210746775631,CCNC
SYNGR1,0.738912236461861,0.0298031138981243,CCNC
JPT1,0.651708301404335,0.0202448748020264,CCNC
YIPF2,0.634547615599527,0.024960534431931,CCNC
FOXN3,0.690526787213172,0.0467193641125677,CCNC
PARP2,0.695208903703026,0.0250513499242369,CCNC
INAFM1,0.688973772761862,0.0290099080608472,CCNC
HJURP,0.671867613038098,0.019598441958697,CCNC
ZNF208,0.814067356470873,0.0452845001206665,CCNC
PSRC1,0.657546257003575,0.0293218750442447,CCNC
KLF13,0.777427175221236,0.00647554756656414,CCNC
RETREG1,1.0134357903184,0.0381755847867124,CCNC
PPDPF,0.828534895522961,0.00152846911102805,CCNC
CEBPA,1.42522929803947,0.00277563632478194,CCNC
FAM72D,0.784230083503258,0.0163839859156577,CCNC
APLP1,0.907467837449665,0.0233838557918856,CCNC
GABARAPL1,0.790486189982667,0.0108900768522549,CCNC
YIF1A,0.648985902961094,0.0265389312892051,CCNC
GOLGA3,0.63038761593469,0.0283379574819571,CCNC
IL15RA,0.685443298890789,0.0417409774381219,CCNC
MRPL4,0.608337606587957,0.0383978553518081,CCNC
NPRL3,0.631801726852905,0.0256032974589583,CCNC
PRR5-ARHGAP8,0.90649822667251,0.0202448748020264,CCNC
ME1,0.880267169768075,0.00182982633174238,CCNC
REEP4,0.743899650603744,0.00918058853099475,CCNC
TTK,0.647171460000297,0.0220879872421286,CCNC
SLC22A5,0.747321890098828,0.00947371640056706,CCNC
NUDT8,0.898293828928222,0.0227126401805577,CCNC
DNMT3B,0.627702481287861,0.026984611890706,CCNC
MYO15B,0.956109626571774,0.00091556679522585,CCNC
UBE2S,0.832285914100306,0.00148571110822326,CCNC
IL6R,1.36278807759029,0.00174942967641924,CCNC
P4HA2,0.612517197268554,0.038551535002169,CCNC
SLC37A4,0.629847529053531,0.0335896082184369,CCNC
PAIP2B,1.1114796916237,0.00344212601938087,CCNC
F12,0.833830182668793,0.0459070626545607,CCNC
TEKT4,1.07254945893301,0.0202391066791064,CCNC
TC2N,0.606411285061328,0.0438444178881422,CCNC
EBP,0.720555718683593,0.00900064602079105,CCNC
THEMIS2,0.757693944871319,0.0142271876291875,CCNC
TSKU,0.699691539380415,0.0240724487653446,CCNC
BOLA3,0.659776876093624,0.0330690448017335,CCNC
MYC,0.859286556001804,0.00101362611323368,CCNC
FLVCR1,0.615900920395666,0.039618396002456,CCNC
ASAP2,0.733530819060502,0.0149662248396745,CCNC
MMP17,0.821531090984989,0.00439747364732285,CCNC
ANKRD20A1,1.17152780084385,0.0103616415534827,CCNC
FAM189B,0.749725839236342,0.00738829601926374,CCNC
HECA,0.697394855106963,0.0211582573156608,CCNC
LPCAT4,0.686346464720411,0.0299652382892309,CCNC
CKS2,0.682797437831988,0.0324507284143751,CCNC
BUB1,0.625976537796894,0.0279880303632351,CCNC
CDK20,0.919224430025918,0.039618396002456,CCNC
PPP1R13L,0.744840452458741,0.0141450146090822,CCNC
ZNF728,1.09355651308736,0.0346864242453717,CCNC
PPFIA3,0.704232615290929,0.0207733064093534,CCNC
DES,0.933909252953151,0.00324364593571205,CCNC
POLR3D,0.781822795732901,0.00361160357849375,CCNC
SLC38A5,0.637390033276737,0.0273601473172107,CCNC
ARFGAP1,0.754974570562988,0.00492653985281998,CCNC
RHOB,0.881955991781456,0.0090624969446198,CCNC
NT5M,0.801487835241457,0.0139926323200399,CCNC
MYH14,0.904292661367389,0.0463585792134184,CCNC
KYAT1,0.97464198754546,0.00103583930192389,CCNC
VKORC1,0.738445600418781,0.0155646439514986,CCNC
UBE2T,0.785479704167017,0.00830110571588376,CCNC
AGTPBP1,0.836849572824506,0.00647844606179826,CCNC
ARHGAP19,0.753231120034427,0.0052095620910653,CCNC
SLC26A6,0.64295878119455,0.0355556193144992,CCNC
CYP4F2,1.30716607705286,0.00319596203180152,CCNC
DOCK6,0.873053028158519,0.000947212421560751,CCNC
L3MBTL1,0.637207510234527,0.0498743442967551,CCNC
SLC4A7,0.761115962461746,0.0120884140487987,CCNC
DNAJC6,0.702537728444121,0.0101042524903741,CCNC
ACBD3,0.654520874537982,0.0199910191200271,CCNC
THOC3,0.643187575423852,0.0457658837700501,CCNC
SH3KBP1,1.09541963998223,0.000114629347622475,CCNC
FABP5,1.07541131547185,0.0202391066791064,CCNC
TMEM143,0.718357625110584,0.048929792382492,CCNC
RAB11FIP5,0.788862983893877,0.00666644940609791,CCNC
ARHGAP19-SLIT1,0.788776895966674,0.00614854670052341,CCNC
MRPL2,0.729519242394518,0.00824470060961771,CCNC
PDK3,1.63574442294686,1.44017400222656e-05,CCNC
PTTG1,0.89181078682579,0.0005680434913005,CCNC
NSDHL,0.653088651031178,0.0312419130357982,CCNC
KCNQ4,1.07657132813418,0.000370736544402385,CCNC
GUK1,0.706763663926818,0.0111241084721903,CCNC
EXT1,0.941858389554466,0.012309275916089,CCNC
FAM234B,0.736851535944601,0.0393112840350591,CCNC
PLEKHH3,0.717693223612273,0.0129051472532576,CCNC
CXorf38,0.720306399261383,0.0199383137206454,CCNC
HAPLN2,0.900960039672573,0.034476764532059,CCNC
AFMID,0.671625993395995,0.0252397103772419,CCNC
TSPO,0.777785379594533,0.00844907466622823,CCNC
ADAMTSL4,0.715464860713786,0.0124804319164297,CCNC
DMBX1,0.896339848547939,0.00778149175639787,CCNC
MEX3A,0.727338293350205,0.0199707134698563,CCNC
CDC20,0.858579428397826,0.000896843819595665,CCNC
TMEM9,0.6557284415823,0.0218006200701515,CCNC
CTNNAL1,0.676010093716884,0.0176983350086252,CCNC
SNAI1,0.670411779275824,0.0441077815531244,CCNC
PCYOX1L,0.689457666659122,0.0293678207848085,CCNC
ZDHHC19,1.15311863568687,0.01005732567442,CCNC
BTG3,0.697368646922899,0.026492399430111,CCNC
PDIA5,0.80123930377526,0.00682463466557441,CCNC
BIN1,1.01771223732915,0.039618396002456,CCNC
SLC16A9,0.874523687274088,0.0477644485172672,CCNC
ZNF732,1.00787605748507,0.0298999048476917,CCNC
GADD45A,0.636896722546115,0.0284486276502715,CCNC
ATP8B3,0.958267939355408,0.000457971101545749,CCNC
ZNF682,1.24024654606006,0.0133024135117545,CCNC
AK4,0.836662559337284,0.00225062099247275,CCNC
IDH2,0.731663169923779,0.00673814083362147,CCNC
OSGIN1,1.2636712710667,9.99834699838434e-05,CCNC
NIPSNAP1,0.694084515024799,0.0195393710687522,CCNC
CALR,0.977813158011708,0.000444445849209841,CCNC
ORC1,0.76415203962038,0.0042210746775631,CCNC
ULK2,1.419173827847,0.00149685096714791,CCNC
BNIP1,0.823042753907289,0.0258518003688908,CCNC
POFUT2,0.741114972587271,0.00732152820969499,CCNC
TMEM256-PLSCR3,0.675049120367014,0.0416055407156596,CCNC
PCSK4,1.11987392940232,0.000295582553676699,CCNC
SPATC1L,0.858698183467592,0.00111897196343365,CCNC
MANF,0.987260249096407,0.000347641221719232,CCNC
H2AC1,1.18257961450438,0.0147154629841244,CCNC
TMPRSS4,1.04022836164086,0.000700629157096409,CCNC
IVNS1ABP,0.576608246745704,0.0494076222844603,CCNC
CTAG2,0.713369177695694,0.0265389312892051,CCNC
GPR3,0.729974743804304,0.0459784705043092,CCNC
GPI,0.850788031135001,0.00190784698694184,CCNC
COTL1,1.04332292783084,2.09111635288915e-05,CCNC
MICA,0.766744766450172,0.0111024423704446,CCNC
KCNC4,1.02473591064736,0.00845257078713534,CCNC
ABCB6,0.630136835207703,0.0473582527228733,CCNC
KLC4,0.781901456909353,0.0055763693669869,CCNC
PRPS2,0.631350523107298,0.0298031138981243,CCNC
COQ8A,0.721888048160148,0.00836375514425933,CCNC
DAAM1,0.715883351412426,0.0211231902940752,CCNC
ADA,0.924173259273742,0.00888217032319331,CCNC
KIF20A,0.795920214895186,0.00296774896907733,CCNC
FAM162A,0.685569890935956,0.0349259381552829,CCNC
MIF,0.812418952253058,0.00192759680533989,CCNC
PRRC1,0.712743616283958,0.00870791063951602,CCNC
PLA2G6,1.02772149361201,0.000477366492330119,CCNC
AK7,1.36232350124743,0.000891434872929298,CCNC
POPDC3,1.58788247305571,9.12116408975512e-06,CCNC
CCDC116,1.26816889474915,3.63202085781279e-05,CCNC
SH3D21,0.725572816632541,0.0205926921488322,CCNC
TMEM63B,0.87426128429682,0.000679928959425213,CCNC
CCDC22,0.649424567430267,0.0356361110693368,CCNC
RIN3,1.09616459985116,0.00348705663770564,CCNC
ADAMTS7,1.37304678167368,0.00368855637869847,CCNC
LGMN,1.08444452098262,0.00641886079282581,CCNC
SLC17A7,0.86778736627772,0.00947371640056706,CCNC
HSP90B1,1.0982202753095,4.28184223974811e-05,CCNC
YIF1B,0.82615298687582,0.00164614552419373,CCNC
ZDHHC2,0.706289723162956,0.0103616415534827,CCNC
RDM1,0.919049254841309,0.0392852993927953,CCNC
FOXA1,0.938040946153566,0.039618396002456,CCNC
MPP3,0.957532629061217,0.024960534431931,CCNC
UAP1,0.608781603396415,0.0336930395856944,CCNC
MVK,1.06825716734568,3.26661111626982e-05,CCNC
MMP11,1.45522786541223,0.0007841111131894,CCNC
SEC13,0.851230210816759,0.00104177618973714,CCNC
DHRS11,0.725141758115294,0.00991127692067434,CCNC
GUCA1B,0.892967362434648,0.046460756359557,CCNC
VGF,0.937971229728709,0.045399641898037,CCNC
SLC25A29,1.20611468548507,3.96115772593827e-05,CCNC
EGFLAM,1.24289305911525,0.00764911987758866,CCNC
TUBB4A,1.4563759961656,2.66845063620323e-05,CCNC
NPDC1,0.92598152402783,0.0476159720344731,CCNC
C1QL4,1.13967695034489,0.0122494976292346,CCNC
EEF1A2,0.774573124163037,0.00446175804033521,CCNC
TAP1,0.686524453336476,0.0387092219303353,CCNC
DLL4,1.0630697900182,0.0279187943290889,CCNC
SH3BGRL2,0.775738490572083,0.00706469632921392,CCNC
STARD4,0.722855009929841,0.007575122936021,CCNC
PM20D2,1.83256556564694,7.08897516067835e-06,CCNC
ALDOA,0.833332835699393,0.00624109591098277,CCNC
ACAT2,0.846775210051899,0.00111041254817517,CCNC
MAGED2,0.756345167512652,0.00664136401713755,CCNC
TUBB2B,1.11872424358816,8.98956892253302e-05,CCNC
RABAC1,0.95864974247392,0.0025250843883077,CCNC
CRELD1,1.21335494674523,1.39421533092834e-06,CCNC
FAM133A,1.46287603628786,0.00104282089169827,CCNC
SEMA4G,0.824949134220462,0.0193064263258108,CCNC
PPP1R14A,0.977029599297024,0.000702349115322842,CCNC
TM7SF2,0.64460121178574,0.0459784705043092,CCNC
CELSR3,0.910410455046291,0.00199962779225029,CCNC
SLC6A6,0.764409951633846,0.00647554756656414,CCNC
EPHX2,0.940581955617239,0.00028539897223225,CCNC
ALDH18A1,0.886664581668865,0.000703100407739458,CCNC
PGAM1,0.594283201275168,0.039618396002456,CCNC
C1QTNF12,1.12098170368144,0.0103117162436596,CCNC
DUSP21,1.24970587761822,0.00909038849157909,CCNC
SUGCT,1.27647319076388,0.00233817775813543,CCNC
HSD17B7,1.07540405995013,0.000105971309218887,CCNC
FAM83D,0.89349537966851,0.00105637343022984,CCNC
SORD,0.731210007935369,0.010585636550004,CCNC
MFGE8,0.713037605054641,0.00956165324908019,CCNC
MLF1,1.02298567019381,0.000336683326499762,CCNC
ANGPTL1,1.22758611880346,0.00886384985252007,CCNC
FDPS,0.97597924199016,8.98956892253302e-05,CCNC
EFNA3,1.04932765746308,0.0147056872696763,CCNC
CTLA4,1.79303649140271,1.72083374244682e-05,CCNC
IRAK2,0.710706083833325,0.0487493163237305,CCNC
PGM2L1,0.939524034133366,0.00486052816864863,CCNC
CYP51A1,0.90831518807054,0.000358443990999596,CCNC
SLC41A1,0.717758542683991,0.011734821860489,CCNC
RASGEF1A,1.03854349198855,0.00110772409185717,CCNC
PDCD2L,0.831367039350273,0.00874382268824412,CCNC
SERPINE2,1.4010328655682,3.24523160899301e-05,CCNC
MXI1,0.929670279019535,0.000763934587036047,CCNC
SESN3,0.822149160585795,0.00202813621586461,CCNC
PHLDA1,-1.04956558617318,0.000400752948507404,CCNC
FAM178B,1.23064557419527,2.66004416572206e-07,CCNC
CMAS,0.790322792289992,0.0043628674794364,CCNC
GSTA4,1.01009726459827,0.0385434574434343,CCNC
WNT10B,1.22789621512955,0.0141086100502899,CCNC
PER1,1.07712328038779,4.01058315789199e-05,CCNC
INSIG1,0.694359165685183,0.0144016131257309,CCNC
STARD8,0.70449666587103,0.0108639586920781,CCNC
GAD1,0.65180393248469,0.0264333893467778,CCNC
MTCL1,0.732778896733348,0.0131725221796178,CCNC
PCK1,1.34675126007328,0.00278321361994913,CCNC
HMGCR,1.00278529598511,4.95545157073237e-05,CCNC
SYBU,1.38132516617617,0.000149267119309471,CCNC
SPTA1,1.03282647663995,3.43862013860874e-05,CCNC
KLF1,0.838202107119802,0.00146695905993415,CCNC
CNN1,0.976872013564033,0.00947371640056706,CCNC
ADRA2C,1.36027060853023,0.00428001610012083,CCNC
ZNF692,0.748745288573244,0.00647844606179826,CCNC
REPS2,1.94628527109783,1.93636585448971e-06,CCNC
TMEM8B,1.25467769393453,2.3447222657576e-05,CCNC
TENT5B,1.48943009398221,0.000628460045958997,CCNC
AXL,-0.943567740549578,0.00477135799063029,CCNC
BVES,1.7669378542195,3.15417579590124e-05,CCNC
SPAG4,0.929162807011677,0.00892899141251165,CCNC
PIMREG,1.06926122272182,0.002807570116968,CCNC
ITGB4,0.945703989438931,0.0341188134203039,CCNC
TSC22D1,0.61318031605574,0.0463191291977153,CCNC
MYO15A,0.978606256842819,0.0417409774381219,CCNC
ERG28,1.12346351868234,2.58925142411241e-05,CCNC
LRP4,1.00086339644637,0.0406384518941026,CCNC
RRAS,0.844509174002191,0.0160305419833472,CCNC
C2orf78,1.46119531809072,0.00105637343022984,CCNC
RHCE,0.65431428836641,0.0400258336578565,CCNC
TMTC2,1.28205180968661,0.00107275332635612,CCNC
RAB6B,0.719861244774714,0.0196416552630364,CCNC
NRGN,1.20427310646168,0.00164799432625037,CCNC
TPD52,1.21456107564352,0.0117922946554454,CCNC
PCDH10,1.79076296735857,3.81184436412616e-07,CCNC
SLC2A1,0.604981644533086,0.0358886408010362,CCNC
LDHA,0.873136658036025,0.00184997176278087,CCNC
GFI1B,0.738501762950028,0.00639674466794024,CCNC
KCTD12,2.01400045888892,1.24534139618191e-06,CCNC
GPR155,1.27070868439315,0.000935386542104797,CCNC
PDK1,0.976942365514935,0.000114186037343184,CCNC
FAM114A1,0.928801205768088,0.00190784698694184,CCNC
RHPN2,1.18931928166853,6.51851181069181e-05,CCNC
MGAT3,0.816166372968997,0.00468084161468803,CCNC
DKKL1,1.21507968890459,0.0101548024968225,CCNC
IDI1,1.07921026935558,9.29888076965736e-06,CCNC
PLA2G3,1.10542683838499,0.0176574758737118,CCNC
WNK4,0.716918466864408,0.0134633730603648,CCNC
PLCD1,0.977961658802141,0.000101876717534591,CCNC
SEMA6B,1.1452842599636,0.00100990207807659,CCNC
NR5A2,1.67088176054639,1.03188651939285e-05,CCNC
MYL4,1.01024101024377,0.000218074436803906,CCNC
ACSS2,0.799000983265183,0.00246346452353995,CCNC
ENO2,1.12396242797162,4.48931811927903e-06,CCNC
GSTO1,0.641064658181434,0.0229005209032395,CCNC
BNIP3,1.07751812839494,2.09111635288915e-05,CCNC
SH2D2A,0.651981205657129,0.0381197819465641,CCNC
ICAM5,0.8115306991013,0.00206091966340419,CCNC
KCNJ11,1.16018403905971,0.00123548712366061,CCNC
LAMC1,1.6956063839258,7.35488728252752e-05,CCNC
ROBO3,1.47389708979285,0.00029466868495438,CCNC
SLC12A8,1.56713417319715,0.000300068246814916,CCNC
FDFT1,1.10503805606936,1.17688346598155e-05,CCNC
REEP6,0.91920063461879,0.000496409703834519,CCNC
YPEL4,0.97544368595046,0.0415550967297472,CCNC
SMPDL3B,1.03503530439115,0.0364673672228892,CCNC
LUZP4,1.67760866623394,4.58888224049365e-05,CCNC
BCAR3,1.10728049360832,0.00407351307836184,CCNC
OR10Z1,1.10159197363011,0.00403938263730816,CCNC
PGK1,1.02487911765015,5.30220296614202e-05,CCNC
PRDM9,1.54811949768483,2.2174555843548e-09,CCNC
DHDH,1.02893193480705,0.0305651754238827,CCNC
CACNA1F,1.44220672021165,0.000450924114087152,CCNC
DEPP1,1.06110505137653,0.00891175335132005,CCNC
DUSP9,1.38814010446264,4.14241013191518e-05,CCNC
TUFT1,1.11005216409851,0.0003850518643957,CCNC
CPOX,0.870572697923223,0.00114322250676403,CCNC
PTPRF,0.811515877265078,0.010495155010055,CCNC
SEZ6L2,1.37384771530499,0.000271495427712043,CCNC
CKMT1B,1.36578862466729,0.00374141753279272,CCNC
RALGPS2,1.31397413086927,1.34725430493034e-06,CCNC
RTBDN,1.06442570077337,0.029529866192938,CCNC
CRYM,1.07634730562215,0.0125385038170842,CCNC
GNLY,1.54993232420741,0.000583896887470887,CCNC
PIR,1.46271937381943,1.58562303436685e-06,CCNC
EGFL7,0.737881709703066,0.00667740714560897,CCNC
RNF122,1.45854071714792,4.55113395144755e-05,CCNC
PROCR,1.25518624085918,0.000704292105083958,CCNC
C11orf96,0.950971289268534,0.00647554756656414,CCNC
SQLE,0.907845265792404,0.000444851384349302,CCNC
CDH12,1.033625112959,0.0160073198816531,CCNC
HK2,1.38096336976387,3.93930163039427e-09,CCNC
CATSPERD,1.04161579950384,0.0324514220918679,CCNC
RNASET2,0.81105877718049,0.00194087935879454,CCNC
RND1,1.08706239192225,0.0324507284143751,CCNC
CYP26A1,0.944371299736509,0.0367034583442572,CCNC
SPDYC,1.45043820969422,1.12840199322102e-08,CCNC
TDRKH,0.960768354387728,0.000873490263554448,CCNC
WIPF3,0.879833775069875,0.00144085582792481,CCNC
TRDN,1.91801518371957,1.76702465139768e-06,CCNC
RAB3A,1.65924356278995,4.95269526469732e-05,CCNC
PALM2AKAP2,-1.11961691599231,0.0373112546538081,CCNC
SH3GL3,1.26418883648924,9.64089773514849e-06,CCNC
KCNK1,0.998620886391779,0.000674966285812915,CCNC
SNTA1,0.720868343257411,0.0155646439514986,CCNC
HEG1,1.49538376174713,0.00107904295128664,CCNC
COX6B2,1.57788835118,0.000211077282120103,CCNC
GP1BB,0.712714007510695,0.00957657287312131,CCNC
TBC1D26,1.87479105030429,1.72428505266818e-05,CCNC
AGMO,1.7340853447673,1.40254881389048e-06,CCNC
RIMS3,1.01934895636188,0.000550158036913047,CCNC
ITGA2B,0.694397502600096,0.0120066103439269,CCNC
RHD,0.790627532587903,0.00479008971049981,CCNC
REEP2,1.07688971051128,0.0387092219303353,CCNC
PFKFB4,1.37560428500694,2.98019741558967e-08,CCNC
PACSIN1,0.989249162073941,0.0156512326799869,CCNC
PRR36,1.97587738997769,2.51448968187478e-06,CCNC
TSPAN13,1.05338130496353,2.50813266009031e-05,CCNC
TBX3,1.70093937123023,3.66267292056856e-05,CCNC
LTBP1,0.622606012725415,0.0319627911516688,CCNC
CDKN1C,0.988360498671726,0.000555949188276672,CCNC
NFATC4,1.04260444533608,0.0296175932638953,CCNC
P4HA1,1.35540569594573,5.63203887260982e-09,CCNC
MYO7A,1.41319410510027,0.00149856973320423,CCNC
ACTA2,1.17537086375243,0.0134902152096711,CCNC
DACT3,1.2609997339279,0.00313111593564207,CCNC
TRIB1,0.854651810812533,0.00502124868262769,CCNC
NOS1AP,1.40112089919914,0.000935386542104797,CCNC
EGLN3,1.22636637012081,2.95620238144836e-06,CCNC
IRF6,1.07857062413099,0.0157571333185735,CCNC
SH2D1B,1.4531808767175,3.80681887629225e-05,CCNC
ACBD7,1.7479084489184,1.95222712055962e-05,CCNC
MSMO1,1.40589490369195,1.1322861255973e-09,CCNC
PNCK,1.72732666161619,1.34719798119976e-12,CCNC
RGCC,1.53738987219987,0.000257145418020735,CCNC
MYO3B,1.24537439902531,9.42122640054743e-07,CCNC
C1orf226,1.14075456838428,0.0025014797675578,CCNC
ADGRB2,1.21229447067608,0.00545082850389043,CCNC
AQP10,1.48129093108989,4.34395931427251e-05,CCNC
HBG1,1.23899499553645,0.00580424388773947,CCNC
TNS1,0.688703069524717,0.0432736473821388,CCNC
SPON2,2.12690322366275,4.74684311198272e-09,CCNC
APLNR,1.3030630301684,0.00315052857311147,CCNC
NR4A1,1.27685304674206,2.98452206972853e-05,CCNC
TUBB3,1.41902143197094,4.45325982790965e-06,CCNC
SYT11,1.73535035452279,4.29602839909207e-05,CCNC
CXCL8,2.24288969885195,1.17057772988649e-13,CCNC
HBM,1.40522055586821,0.00157711759405531,CCNC
PPFIA4,1.99802291090746,2.80701584275992e-11,CCNC
HMGCS1,1.59424905042091,5.73023166609009e-12,CCNC
HTRA3,1.81083981581116,1.38159078562651e-05,CCNC
TMEM116,1.26476164746947,8.52841633397547e-07,CCNC
ACVR1C,1.01818161590343,0.0176532434785011,CCNC
ALDOC,1.84697629809024,9.13488187396995e-17,CCNC
LRRC32,1.52061343216598,0.00104177618973714,CCNC
RTN4R,1.29833577327319,0.0003850518643957,CCNC
HBZ,1.35953279051331,1.41428138785955e-05,CCNC
MAGEB17,1.0643616294921,0.00175856415122154,CCNC
PCYT1B,1.52457174074433,0.00175573035602826,CCNC
