gene,L1_Krishnan_scRNAseq,L2_Awad_CRISPR_KO,L3_Krishnan_ML,L4_Sacco_RNAseq,L5_Sacco_Phospho,evidence_count
RPS21,1,1,0,0,0,2
RSU1,0,0,1,1,0,2
EIF4EBP1,1,0,0,0,1,2
AHNAK,0,0,0,1,1,2
EIF4A2,1,0,0,1,0,2
RUFY3,0,1,0,1,0,2
ZFP36L2,1,0,0,1,0,2
MECOM,1,0,0,0,1,2
RUNX3,0,0,0,1,1,2
MED12,0,1,0,0,1,2
ZEB2,0,0,0,1,1,2
MCM3,1,0,0,1,0,2
SAE1,1,0,0,1,0,2
MRPL4,1,1,0,0,0,2
MED13L,0,0,0,1,1,2
ALDH1A1,1,0,0,0,1,2
ALDH1A2,0,1,0,0,1,2
NBPF14,1,1,0,0,0,2
MYO10,0,1,0,1,0,2
FDFT1,0,1,0,1,0,2
FDXR,1,1,0,0,0,2
MAVS,0,0,0,1,1,2
ENO1,1,0,0,0,1,2
FER,0,0,0,1,1,2
FES,1,0,0,0,1,2
RHOB,1,0,0,1,0,2
LST1,1,0,0,1,0,2
NFKBIZ,1,0,0,1,0,2
RPL39,1,0,1,0,0,2
NFAT5,0,1,0,0,1,2
ACTA2,1,1,0,0,0,2
NFE2,1,0,0,0,1,2
FSCN1,1,0,0,1,0,2
RPL36A,1,0,0,1,0,2
MND1,1,0,0,1,0,2
RARB,0,1,0,1,0,2
DOK1,1,0,0,0,1,2
MRPS7,1,1,0,0,0,2
LRRC4,0,1,0,1,0,2
RPL38,1,0,0,1,0,2
RPL31,1,0,0,1,0,2
VAMP5,1,0,0,1,0,2
ACSM1,0,1,0,1,0,2
NFKBIA,1,0,0,1,0,2
ZWINT,1,0,0,0,1,2
ADGRG5,1,0,0,1,0,2
NFKB2,0,0,0,1,1,2
RPL8,1,0,1,0,0,2
SESN3,0,1,0,1,0,2
ETV6,0,1,0,0,1,2
APLP2,1,0,0,0,1,2
RPL37,1,0,0,1,0,2
DPYSL2,0,0,0,1,1,2
POT1,0,0,0,1,0,1
PPIA,1,0,0,0,0,1
PPA1,1,0,0,0,0,1
RIMS3,0,1,0,0,0,1
RICTOR,0,1,0,0,0,1
PPFIBP2,0,1,0,0,0,1
RHOH,1,0,0,0,0,1
ROPN1L,0,1,0,0,0,1
RHOT2,0,0,0,0,1,1
PPFIA3,0,1,0,0,0,1
RHPN2,0,1,0,0,0,1
PPDPF,0,1,0,0,0,1
PPFIA4,0,1,0,0,0,1
PLAGL1,0,1,0,0,0,1
PPP1R15A,1,0,0,0,0,1
PLAU,0,1,0,0,0,1
PPP1R14A,0,1,0,0,0,1
PPP1R13L,0,1,0,0,0,1
RPL22,1,0,0,0,0,1
PPP1CA,1,0,0,0,0,1
RPL18,0,0,0,1,0,1
RHBDL2,0,1,0,0,0,1
RHCE,0,1,0,0,0,1
POU2F1,0,0,0,0,1,1
PPME1,0,0,0,0,1,1
RPL13,0,0,0,1,0,1
RHD,0,1,0,0,0,1
PPM1J,0,1,0,0,0,1
RPL10L,0,0,0,1,0,1
PPM1H,0,1,0,0,0,1
