gene,p_val,avg_log2FC,pct1,pct2,p_val_adj,Class,gene_clean
ATP5F1B,1.82747716015916e-29,0.2731102928579,0.992,0.982,4.42359121388125e-25,C,ATP5F1B
CCDC124,1.88116226571198e-29,0.286969701359263,0.759,0.541,4.55354138038242e-25,C,CCDC124
CRYGD.3,2.43502910909392e-29,0.314322296818871,0.648,0.399,5.89423146147274e-25,C,CRYGD
APRT,2.46229000139898e-29,0.338673145728074,0.988,0.964,5.96021917738637e-25,C,APRT
PBX1,2.48943988525012e-29,-0.290183408372534,0.04,0.237,6.02593818623643e-25,C,PBX1
WASHC1,2.58073000585866e-29,0.444045254636934,0.941,0.836,6.24691505218147e-25,C,WASHC1
CNN2,3.3078200586534e-29,0.326532075596563,0.958,0.849,8.00690923397642e-25,C,CNN2
WDR18,3.92932965347408e-29,0.302444058132159,0.71,0.511,9.51133535919936e-25,C,WDR18
AP000547.3,4.41839770319264e-29,-0.251383030259704,0.025,0.215,1.06951734803481e-24,C,AP000547
GMNN.2,5.7591625545626e-16,0.339161418393682,0.444,0.249,1.25288228879574e-24,C,GMNN
AUP1,5.50408264346432e-29,0.312003769458135,0.921,0.815,1.33231824467697e-24,C,AUP1
JUN.2,7.2119061860019e-29,-1.0396886708006,0.879,0.922,1.74571401138362e-24,C,JUN
RPS26.2,9.09499704129335e-29,-13627364923886.0,0.993,0.998,2.20153498381547e-24,C,RPS26
SDHD,9.41086780623121e-29,0.258285383575682,0.613,0.386,2.27799466117633e-24,C,SDHD
MYL12B,9.42566909366762e-29,0.252837410913801,0.997,0.987,2.28157746081318e-24,C,MYL12B
SLC25A5,1.42623353293955e-28,0.31899545034516,0.995,0.985,3.45234088983348e-24,C,SLC25A5
CLU.2,2.05640507572917e-28,-0.518958234783002,0.265,0.456,4.97773412631004e-24,C,CLU
KLF2.2,3.725414418339e-16,-0.580290538583068,0.097,0.294,7.67945381410314e-24,C,KLF2
BSG,5.3273975167768e-15,0.291908018212653,0.933,0.876,1.2424309842911e-23,C,BSG
CACYBP,7.75190277051083e-28,0.315774415957297,0.879,0.743,1.87642558462985e-23,C,CACYBP
HM13,1.05313361820826e-27,0.282129513842628,0.903,0.784,2.54921523623492e-23,C,HM13
HLA-B,1.07586799105975e-27,0.299281999549094,1,0.999,2.60424605915923e-23,C,HLA-B
APLP2.3,1.0982017557692e-14,-0.42749903312532,0.598,0.717,2.6864307170015e-23,C,APLP2
CLTA,1.542402249498e-15,0.276188676152832,0.977,0.914,2.7939538885135e-23,C,CLTA
MZB1,1.34091907858514e-27,0.374976842974065,0.752,0.5,3.24582872162318e-23,C,MZB1
PSMB2,2.7747300763585e-14,0.306842758472711,0.883,0.753,5.27079116228335e-23,C,PSMB2
MRPL27,2.42992434079924e-27,0.283463301570758,0.68,0.473,5.88187485933864e-23,C,MRPL27
FES,3.0265145925105e-14,0.299091619076715,0.754,0.53,7.51027812226309e-23,C,FES
TPM4,3.4323176430817e-14,-0.453794329397804,0.749,0.824,7.60850680868435e-23,C,TPM4
CDC37,3.22284830769988e-27,0.254507071667498,0.983,0.908,7.80122661361832e-23,C,CDC37
NRROS.2,3.24291196785467e-27,0.302720905484385,0.747,0.518,7.84979270938901e-23,C,NRROS
PSMD8,4.05004456244345e-27,0.294425034174912,0.925,0.824,9.80353786785062e-23,C,PSMD8
MRPL20,4.9111432996979e-14,0.285407529365197,0.849,0.688,1.01450113471249e-22,C,MRPL20
ECHS1,4.21155620223789e-27,0.289086177533572,0.844,0.679,1.0194492943137e-22,C,ECHS1
STK17B.2,5.61721332094307e-27,-0.433257605531593,0.432,0.589,1.35970265646748e-22,C,STK17B
PTP4A1,5.83543509389413e-27,-0.361551119993972,0.481,0.655,1.41252541882801e-22,C,PTP4A1
DCPS,6.43944009932755e-27,0.253080616037911,0.554,0.335,1.55873087044323e-22,C,DCPS
MDM2.2,6.86974333808974e-27,0.529546259975251,0.382,99,1.662890072418e-22,C,MDM2
FCGRT,8.4833430162302e-14,-0.301819283761419,32,0.335,1.97238580105087e-22,C,FCGRT
ANGPT1.2,1.6975655087135e-13,0.456133977898132,0.742,0.532,2.83151270703919e-22,C,ANGPT1
LRPAP1.2,1.2726293174001e-26,0.302298091166813,0.779,0.605,3.08052652569867e-22,C,LRPAP1
ASF1B.3,1.29170572093564e-39,0.326725092548927,0.323,27,3.2670286809681e-22,C,ASF1B
RHOH.3,1.41091018639243e-26,-0.525815571444994,0.566,0.663,3.41524919718152e-22,C,RHOH
SOX4.3,1.61371699482576e-26,-0.580291281611554,0.841,0.868,3.90616335767522e-22,C,SOX4
LSM7,2.06324508817267e-26,-0.280735643189353,0.985,0.982,4.99429106043076e-22,C,LSM7
LEPROT,2.5392892308952e-13,-0.376826440011596,0.549,0.683,5.21380035123048e-22,C,LEPROT
SNRPC,2.69032961529509e-26,0.286893524170913,0.93,0.858,6.5122118667833e-22,C,SNRPC
MRPS25,3.31075468452834e-26,0.279147597889289,0.754,0.546,8.0140127893693e-22,C,MRPS25
ATF7IP2,3.43238607460766e-26,-0.398377436621797,0.456,0.625,8.3084337321953e-22,C,ATF7IP2
MAPK1IP1L,3.46680846428703e-26,-0.343931523599781,0.71,0.802,8.39175656865317e-22,C,MAPK1IP1L
BTG2.2,3.69666936542978e-26,-0.839749949678893,0.415,0.581,8.94815786595931e-22,C,BTG2
TMSB4X,3.89236884662728e-26,-0.316429376415684,0.998,0.999,9.421868030146e-22,C,TMSB4X
RPUSD3,6.65086796371214e-26,0.262435062967768,0.717,0.512,1.60990909929616e-21,C,RPUSD3
PNISR,6.80091000529065e-26,-0.295044757477225,0.985,0.989,1.64622827588065e-21,C,PNISR
RAD23A,7.54720289394864e-26,0.310832130686136,0.874,0.77,1.82687593250921e-21,C,RAD23A
BANF1,8.45639334773685e-26,0.258568949192691,0.966,0.911,2.04695457375318e-21,C,BANF1
SLC29A1,9.51509763369951e-26,0.273824991539155,0.576,0.355,2.3032245332133e-21,C,SLC29A1
ZNF385A.2,9.65130596713351e-26,0.386406198221419,0.407,0.221,2.33619512240434e-21,C,ZNF385A
AURKAIP1,1.04285588364152e-25,0.293350122766389,0.791,0.649,2.52433695194266e-21,C,AURKAIP1
KLF6.2,1.1838071159824e-12,-1.22133472221968,0.894,0.895,2.70715235049469e-21,C,KLF6
RPN1,1.5240691837401e-12,0.274229732720478,0.92,0.82,2.78951618661612e-21,C,RPN1
C1QBP,1.22394519605857e-25,-0.384765823064344,0.675,0.731,2.96268174157937e-21,C,C1QBP
SNRPB,1.5118507067986e-25,0.347384805712137,0.905,0.825,3.65958582087668e-21,C,SNRPB
PER1,1.92070855018139e-25,-0.352418919059911,0.265,0.444,4.64926711656907e-21,C,PER1
SP100,2.58928096898415e-25,0.287816050103888,0.801,0.603,6.26761351352304e-21,C,SP100
VSIR.2,2.62862248861657e-25,0.382123089828883,0.804,0.611,6.36284359594526e-21,C,VSIR
PSMB5.2,4.05857327514151e-25,0.277516198429575,0.822,0.67,9.82418246980754e-21,C,PSMB5
FAH,5.08493959982897e-25,0.284083032019585,0.727,0.514,1.2308604795346e-20,C,FAH
ICAM2,5.58239035656589e-25,0.307894648837428,0.831,0.664,1.35127340971034e-20,C,ICAM2
TNFAIP3,5.76649985289506e-25,-0.470277105818565,94,0.383,1.39583895439178e-20,C,TNFAIP3
FHL1.2,5.95976837115332e-25,-0.535510815299943,0.347,0.519,1.44262153192137e-20,C,FHL1
SHMT2,7.2726354094411e-25,0.362430929074429,0.812,0.664,1.76041412720931e-20,C,SHMT2
NDFIP1.2,7.51285487921228e-25,-0.352596076960165,0.444,0.576,1.81856165206212e-20,C,NDFIP1
SRA1,1.4490251723071e-11,0.40613124812724,0.533,0.345,2.77135103320865e-20,C,SRA1
PSMB3,1.35284714241775e-24,0.266577686008577,0.913,0.809,3.27470179293641e-20,C,PSMB3
NAPA,1.77302155064052e-24,0.294431073291969,0.779,0.615,4.29177596548044e-20,C,NAPA
NDUFAF3,1.98253831413343e-24,0.268523120582091,0.889,0.778,4.79893224319139e-20,C,NDUFAF3
PMVK,2.21414563833906e-24,0.274503796444858,0.692,0.492,5.35956093216353e-20,C,PMVK
PNKD,2.3355161132739e-24,0.262806126024035,0.851,0.7,5.6533503037908e-20,C,PNKD
CIB1,2.79854437412047e-24,0.2588449693977,0.792,0.601,6.77415651199601e-20,C,CIB1
CD63.2,3.06323845058745e-24,0.277310894760227,0.918,0.794,7.41487499349198e-20,C,CD63
IAH1,3.44919558137262e-24,0.263011830510583,0.767,0.563,8.34912282427057e-20,C,IAH1
SUCLG1,3.38662495008341e-37,0.344479701946591,0.864,0.672,8.9766435417189e-20,C,SUCLG1
BNIP3L,3.99929623985167e-24,-0.34164896925483,0.704,0.792,9.68069647818495e-20,C,BNIP3L
MT-ND6.3,5.0415310298062e-11,-0.36897733557544,0.839,0.909,1.23551130010749e-19,C,MT-ND6
RUVBL2,5.41669200857465e-24,0.281859520959475,0.841,0.687,1.31116446759558e-19,C,RUVBL2
GATA2.3,6.01691019081316e-24,-0.587220667370928,0.456,0.586,1.45645328078823e-19,C,GATA2
RFC2,7.852636592806e-12,0.36800561124291,0.554,0.388,1.73926492136546e-19,C,RFC2
PRR13.2,8.08498046675919e-24,0.260635204052877,0.978,0.942,1.95705037178373e-19,C,PRR13
SNRPA,9.81656855300567e-24,0.301230596022095,0.915,0.864,2.37619858394055e-19,C,SNRPA
MAP1LC3B,1.44089048521546e-23,-0.318125211571691,0.4,0.551,3.48781950851255e-19,C,MAP1LC3B
COX6B1.2,1.51295004862663e-23,-0.268570628031854,0.98,0.988,3.66224688770561e-19,C,COX6B1
NUSAP1.2,1.5972446706927e-23,0.268870664321873,0.322,64,3.86629044987875e-19,C,NUSAP1
MRPS34,1.31739373765386e-36,0.3576811866802,0.859,0.66,3.8888328136493e-19,C,MRPS34
RPL23.3,1.64575618513014e-23,-0.267556643375775,0.98,0.987,3.98371742172601e-19,C,RPL23
NHP2,2.08978870669423e-23,0.263594848432189,0.97,0.917,5.05854254342406e-19,C,NHP2
PLK2.2,2.2560847033415e-23,0.296812909454842,0.312,53,5.46107863290843e-19,C,PLK2
GPAT3,2.55691861778674e-36,0.312916827178203,0.461,0.233,6.8927720621459e-19,C,GPAT3
AP2S1,3.09498227323622e-23,0.271570280058804,0.879,0.788,7.49171409059559e-19,C,AP2S1
SMIM26.2,3.99205266498717e-23,-0.298581633980342,0.787,0.845,9.66316268086794e-19,C,SMIM26
YIF1B,7.00300562883051e-23,0.256033208288822,0.704,0.505,1.69514754251471e-18,C,YIF1B
SPI1.2,8.00393397606329e-23,0.284647002435765,0.767,0.583,1.93743225824588e-18,C,SPI1
CYC1,8.0624081360255e-10,-0.300926840789081,0.258,0.418,1.96219665134063e-18,C,CYC1
MRPS7,8.47625923560894e-23,0.259529815898962,0.754,0.567,2.0517633105715e-18,C,MRPS7
PSMB6,9.27598560168861e-23,0.259010888407327,0.908,0.832,2.24534507474475e-18,C,PSMB6
POLD2,1.37488087816798e-22,0.267579450771179,0.802,0.663,3.32803665369341e-18,C,POLD2
PIK3R1.3,1.44854975960601e-22,-0.388663197545919,0.501,0.609,3.50635954810232e-18,C,PIK3R1
TSPO,1.48701796145574e-22,0.274674131212126,0.96,0.92,3.59947567749977e-18,C,TSPO
NME2,1.48748218193611e-22,-0.310279353236456,0.898,0.912,3.60059936959454e-18,C,NME2
MGMT,1.62957381897624e-22,0.268483381158076,0.786,0.603,3.94454638621388e-18,C,MGMT
ATP6V0B,1.80691630425709e-22,0.276948845191485,0.941,0.846,4.37382160608472e-18,C,ATP6V0B
SAE1,2.47971491354173e-22,0.262531899667112,0.605,0.42,6.00239791971911e-18,C,SAE1
HSPB11,2.4909201203167e-22,0.279503731027981,0.742,0.564,6.02952124323861e-18,C,HSPB11
CDCA7,3.08093602106469e-22,0.333402919918236,0.759,0.577,7.45771373258919e-18,C,CDCA7
DDT.2,3.08827764374061e-22,0.252646385581972,0.923,0.798,7.47548486443851e-18,C,DDT
CNPY3,3.92679540488866e-22,0.297828950221312,0.916,0.789,9.50520095707349e-18,C,CNPY3
ZDHHC24,7.00070110277352e-22,-0.275686121021437,0.219,0.387,1.69458970893736e-17,C,ZDHHC24
LIMD2,7.4391924942468e-09,0.268794465874824,0.97,0.932,1.72925709351574e-17,C,LIMD2
XIST.2,8.47020598108568e-22,0.29767959125884,0.313,65,2.0502980597816e-17,C,XIST
SERPINB1,8.48627132766718e-22,0.334892794924983,1,0.998,2.05418683757512e-17,C,SERPINB1
SYTL1,8.8355600835874e-35,0.380887429002466,0.832,0.619,2.3873567383317e-17,C,SYTL1
SELENOP.3,1.06638672833163e-21,-0.268048910662401,0.064,0.227,2.58129571459954e-17,C,SELENOP
CSDE1,1.1647651637344e-08,-0.267387260448526,0.935,0.965,2.70254305553356e-17,C,CSDE1
ZWINT.2,1.42390647404261e-21,0.305429153014508,0.35,98,3.44670801106754e-17,C,ZWINT
MDH1,1.63361053275474e-21,0.260861667977663,0.894,0.777,3.95431765558613e-17,C,MDH1
COX8A,2.49814937805053e-21,0.301659998326704,0.95,0.891,6.04702038450912e-17,C,COX8A
MED12L,2.6468980011301e-21,-0.27638450049863,59,0.323,6.40708130153551e-17,C,MED12L
SLC1A5.2,4.05004631351943e-21,0.285372060784389,0.558,0.364,9.80354210650513e-17,C,SLC1A5
DDX3Y,4.0860152191065e-21,-0.312246685694166,0.255,0.439,9.8906084393692e-17,C,DDX3Y
NIFK,4.2958350535225e-21,0.275072160740364,0.809,0.661,1.03984983305566e-16,C,NIFK
RCN1,6.03986774442751e-21,-0.296473827911205,0.363,0.505,1.46201038621612e-16,C,RCN1
DTYMK.2,6.8326222343599e-08,0.266261588247423,0.484,0.309,1.49672045380492e-16,C,DTYMK
C6orf48,9.9828602360578e-21,-0.273866154589434,0.64,0.745,2.41645114874015e-16,C,C6orf48
IDH2,1.05562283019021e-20,0.309184160571622,0.856,0.75,2.55524062275843e-16,C,IDH2
FIBP,1.42929930193151e-20,0.251084604586812,0.836,0.706,3.45976189025542e-16,C,FIBP
TRIAP1,1.67520962598698e-20,0.46948380519305,0.673,0.5,4.05501242066409e-16,C,TRIAP1
METTL26,1.6792294510046e-20,0.260016156019604,0.923,0.8,4.06474280910173e-16,C,METTL26
BRCA2,2.06631774278499e-20,0.262900633526518,0.286,51,5.00172872818536e-16,C,BRCA2
METTL7A,2.2560775868466e-20,0.259368912385222,0.464,0.235,5.4524614067208e-16,C,METTL7A
OSGEP,2.31376862610603e-20,0.25066631449882,0.724,0.543,5.60070833635226e-16,C,OSGEP
NUDC,2.32598844513662e-20,0.26319138030661,0.858,0.728,5.63028763029769e-16,C,NUDC
AC243960.2,2.60095363419846e-20,0.268971311064453,0.509,0.312,6.29586836694079e-16,C,AC243960
CDK4,3.02978781791914e-20,0.298546715401701,0.866,0.799,7.33390439205507e-16,C,CDK4
KIF22.2,3.05337411913869e-20,0.255698130463282,0.563,0.386,7.39099739278712e-16,C,KIF22
RAB13,3.08142073331615e-20,-0.299012417098795,0.596,0.697,7.45888702706508e-16,C,RAB13
SLC2A3,3.66393759972259e-20,-0.30694747402709,7,0.27,8.8689273538885e-16,C,SLC2A3
GINS2,3.66812939441151e-20,0.270547272191078,0.42,0.257,8.8790740121125e-16,C,GINS2
RASGRP2,4.8404458415438e-07,0.279452884864303,0.747,0.564,1.01278983204041e-15,C,RASGRP2
FKBP4.3,5.90970108450786e-20,-0.358630023228739,0.412,0.537,1.43050224451597e-15,C,FKBP4
NBPF14.3,6.200784560968e-20,-0.313409699648183,0.389,0.543,1.50096191082791e-15,C,NBPF14
TSPAN3,6.6801587090551e-20,-0.288394359972481,0.637,0.725,1.61699921711388e-15,C,TSPAN3
BCL11A.2,9.74385229136834e-20,-0.33209956418606,0.447,0.569,2.35859688564862e-15,C,BCL11A
JAGN1,1.4965325597467e-06,0.256288420272651,0.767,0.594,2.78285067141229e-15,C,JAGN1
ARL6IP5.2,1.48410934007298e-19,0.372895883534287,0.96,0.875,3.59243506858065e-15,C,ARL6IP5
RBM25,1.30946534302408e-32,0.346560012392364,0.933,0.802,3.6969180932408e-15,C,RBM25
NDUFS7,1.54374431725947e-19,0.251445633135753,0.819,0.695,3.73678749435828e-15,C,NDUFS7
COQ10B,2.02677851480136e-19,-0.260514612483571,0.268,0.427,4.90602007292818e-15,C,COQ10B
MYCT1,2.04596205423484e-19,-0.322880421511531,68,0.323,4.95245574848085e-15,C,MYCT1
ATP5MC1,2.70837873209246e-19,0.292303978942753,0.911,0.807,6.555901558903e-15,C,ATP5MC1
EIF4B.3,4.65489417289142e-31,-0.35119851264155,0.878,0.956,1.267636834901e-14,C,EIF4B
CKS1B.2,5.98605380958112e-19,0.353799176398215,0.508,0.366,1.44898418514721e-14,C,CKS1B
TMEM11,4.95683081196629e-32,0.28272018414097,0.647,0.405,1.9985046634456e-14,C,TMEM11
RPL22L1,8.58494994218447e-19,0.301628619909715,0.995,0.975,2.07807298300517e-14,C,RPL22L1
CLSPN.2,8.78499879560932e-32,0.307865289218163,0.36,7,2.2649680846519e-14,C,CLSPN
SLC39A8,9.74226222685682e-19,-0.301019656923567,0.432,0.552,2.35821199463296e-14,C,SLC39A8
SIVA1,1.20824032845849e-18,0.397160697356979,0.814,0.723,2.92466653906662e-14,C,SIVA1
REC8,2.06253264564105e-18,-0.307355955942036,0.434,0.555,4.99256652203873e-14,C,REC8
CNTRL,2.07701404479771e-18,0.253846886035001,0.729,0.558,5.02762019683733e-14,C,CNTRL
STMN1.2,2.07855880769726e-18,0.38379313306613,0.99,0.974,5.03135944991199e-14,C,STMN1
ACAP2,3.31000036469852e-18,-0.25806327638147,0.35,0.498,8.01218688278924e-14,C,ACAP2
FDPS,5.0736384188604e-18,0.283395714751169,0.757,0.625,1.22812491566935e-13,C,FDPS
PGAM1,5.07978170842587e-18,0.255670325708487,0.868,0.737,1.22961196034157e-13,C,PGAM1
DHFR.3,6.30013912365823e-18,0.306205302463001,0.385,0.238,1.52501167627271e-13,C,DHFR
EIF4A2.2,6.76194715673051e-18,-0.301338493169807,0.941,0.95,1.63679692875819e-13,C,EIF4A2
LCP1,8.36585401769671e-18,0.252672726581039,0.95,0.86,2.02503862352367e-13,C,LCP1
PPP1R15A.2,9.67940429697206e-18,-0.473076469407395,0.829,0.918,2.34299660412506e-13,C,PPP1R15A
HLA-DQA2,1.05193564165631e-17,0.265749308412431,0.647,0.463,2.54631541419326e-13,C,HLA-DQA2
NRIP1,0.00015035983346291,-0.303417049161818,0.385,0.527,2.78456101288033e-13,C,NRIP1
GSTM2,1.910709732457e-05,-0.257867398539393,0.305,0.44,2.88310639783853e-13,C,GSTM2
HMG20B,1.20847246639315e-17,-0.264212468159389,0.337,0.475,2.92522845215125e-13,C,HMG20B
HLA-DRB1.2,1.22972620094611e-17,0.283371059393311,0.995,0.982,2.97667524201016e-13,C,HLA-DRB1
DDAH2,1.46778261219934e-17,-0.271314514415331,0.824,0.889,3.55291459108973e-13,C,DDAH2
C19orf48,1.54625582637962e-17,0.309729511281681,0.839,0.728,3.74286685333451e-13,C,C19orf48
FABP5,1.56682332150978e-17,0.267795085115489,0.901,0.762,3.79265253204658e-13,C,FABP5
THOC3,1.63339197633875e-17,0.257078607638968,0.68,0.529,3.95378861792559e-13,C,THOC3
ATP8B4.2,1.83043286264371e-17,-0.305190068304284,0.519,0.626,4.43074578731537e-13,C,ATP8B4
PHLDB2.2,1.8963890917297e-17,-0.281957482740187,0.037,65,4.59039943544092e-13,C,PHLDB2
FEN1.3,1.91618937961978e-17,0.303599418916549,0.442,0.295,4.63832801230764e-13,C,FEN1
MND1,2.5541594521694e-30,0.277478774035799,0.302,37,6.8259836992126e-13,C,MND1
H1FX.2,6.03422727142004e-17,-0.51040117014204,79,0.317,1.46064505331993e-12,C,H1FX
HCFC1R1,4.81423751085078e-30,0.293830511165879,0.735,0.505,1.6533433187654e-12,C,HCFC1R1
EMP3.3,2.04663837330199e-16,-0.347341471294086,0.697,0.756,4.95409284641479e-12,C,EMP3
C8orf59,2.77295122948509e-16,-0.251389171526941,0.878,0.887,6.71220574609161e-12,C,C8orf59
MSI2,4.97089500040741e-16,-0.257263129256871,0.719,0.805,1.20325484379862e-11,C,MSI2
TUBB.3,5.84466591966644e-16,0.601570756844085,0.987,0.979,1.41475983251446e-11,C,TUBB
SYF2,5.98784308571611e-16,-0.260914789408825,0.744,0.796,1.44941729732844e-11,C,SYF2
CTSW.2,6.43302320191917e-16,0.363581993552574,0.926,0.894,1.55717759625655e-11,C,CTSW
GLUL,7.6158072124754e-16,0.484687392589033,0.95,0.891,1.8434822938518e-11,C,GLUL
ANAPC11,9.43975359143988e-16,0.266870331934106,0.866,0.791,2.28498675434394e-11,C,ANAPC11
YBX1.2,1.03757119129323e-15,-0.37053425499681,0.928,0.931,2.5115448256444e-11,C,YBX1
RHOB.2,1.27216036594699e-15,-1.09009344412794,0.337,0.435,3.07939138181128e-11,C,RHOB
HSP90B1.2,1.6448987500812e-15,-0.356821338469296,0.93,0.944,3.98164191444655e-11,C,HSP90B1
ANXA11,1.82715217767192e-15,-0.250925816011363,0.519,0.617,4.42280456127266e-11,C,ANXA11
H2AFZ.2,0.028050737787075,0.647076840576758,0.938,0.932,5.27813615887395e-11,C,H2AFZ
CD300A,2.26356002693957e-15,0.262985542039802,0.585,0.42,5.47917340120993e-11,C,CD300A
C16orf54,0.037453411889975,-0.282907401404224,0.305,0.422,7.68427728820874e-11,C,C16orf54
AC245014.3.2,5.67381364862741e-15,-0.25987002467845,47,0.284,1.37340333178675e-10,C,AC245014.3
ISCA1,6.46014663626366e-15,-0.250885532743748,0.415,0.521,1.56374309477398e-10,C,ISCA1
SBDS,6.79083823734378e-15,-0.275820535062328,0.531,0.614,1.64379030373143e-10,C,SBDS
EIF4A1,0.090941794216804,-0.265244924266767,0.668,0.725,2.2050257070812e-10,C,EIF4A1
AKR1C3,9.2663691109727e-15,0.327675588685102,0.802,0.667,2.24301730700205e-10,C,AKR1C3
VPS37B,0.14714357048582,-0.26592575390364,0.462,0.572,2.77677572671797e-10,C,VPS37B
FLI1,1.25363448545942e-14,-0.262636963392931,0.6,0.667,3.03454763550308e-10,C,FLI1
MYC.3,1.31423654774645e-27,0.83029457752325,0.67,0.513,3.8124098747505e-10,C,MYC
DNMT1,1.67283370592644e-14,0.331995064082706,0.663,0.539,4.04926126856555e-10,C,DNMT1
LIG1.3,1.95400820657404e-14,0.309461517545222,0.405,0.289,4.72987226483311e-10,C,LIG1
HLA-E,0.27709950527171,-0.335869377486619,0.982,0.983,5.26988706246071e-10,C,HLA-E
FAM53C.2,2.27077718463241e-14,-0.269426503889248,0.332,0.449,5.49664325312121e-10,C,FAM53C
DUT.3,3.39147678269902e-14,0.359128558998626,0.948,0.916,8.20940870020124e-10,C,DUT
NEAT1.2,3.49120234841869e-14,-0.36706007598192,0.888,0.897,8.45080440458227e-10,C,NEAT1
EIF3A,2.37184832617901e-13,0.259593295611314,0.891,0.808,5.74129605834891e-09,C,EIF3A
MCM7,2.58978041198464e-13,0.464730606873192,0.667,0.568,6.26882246525001e-09,C,MCM7
NUCKS1,3.26328264053409e-13,0.284321097343412,0.905,0.85,7.89910195967682e-09,C,NUCKS1
RPL36A.3,3.26573850471541e-13,-0.423326261938472,0.987,0.968,7.90504662451412e-09,C,RPL36A
MTRNR2L12.3,3.28375029870602e-13,0.310926733997475,0.997,0.996,7.94864597304779e-09,C,MTRNR2L12
XBP1.3,3.60778244250903e-13,-0.653726091979585,0.824,0.816,8.73299818033737e-09,C,XBP1
MCM5,5.93621357494889e-13,0.333494597350274,0.637,0.527,1.43691985795213e-08,C,MCM5
JCHAIN,6.4498241543231,0.409918774314873,24,0.053,1.48745444347955e-08,C,JCHAIN
COX7C,9.00485551473837e-26,-0.25363353074886,0.992,0.995,2.7971532589757e-08,C,COX7C
HIF1A,1.21453394620616e-12,-0.261452884143192,0.618,0.674,2.93990087018663e-08,C,HIF1A
SMC1A,1.24926211247901e-12,0.335924371402453,0.559,0.445,3.02396386946669e-08,C,SMC1A
GYPC.3,1.45465151905237e-12,-0.381862973806154,0.921,0.964,3.52112946701818e-08,C,GYPC
EXOSC5,2.3703541713267e-12,0.278949565775878,0.754,0.531,5.7290793071135e-08,C,EXOSC5
ZBTB20,2.691408733666e-12,-0.306213350047109,0.474,0.56,6.51482398071193e-08,C,ZBTB20
EIF3I,4.60120830030425e-25,0.257090555422216,0.968,0.913,1.1376848117165e-07,C,EIF3I
HMGB1,6.27907729651491e-12,0.288087223138653,1,0.999,1.5199134503944e-07,C,HMGB1
IQGAP2.3,1.039757524067e-11,-0.250798585855053,0.583,0.664,2.51683706275659e-07,C,IQGAP2
USP1,1.0546107688466e-11,0.26427898820094,0.6,0.492,2.55279082707008e-07,C,USP1
AC087239.2,1.20602829674638e-11,-0.261186574289092,79,0.288,2.91931209510429e-07,C,AC087239
LDLR.2,1.22184485276662e-11,-0.264306137946117,76,0.284,2.95759765060689e-07,C,LDLR
HLA-DRB5.3,1.46966347974427e-11,-0.281046552344857,0.956,0.969,3.55746741906897e-07,C,HLA-DRB5
HLA-DQA1.2,1.30895105823657e-24,0.303915371772286,0.799,0.601,3.6844693156745e-07,C,HLA-DQA1
AEN,1.65428277353944e-11,0.262207550798671,0.268,61,4.00435688162958e-07,C,AEN
CENPU.2,1.75261693202544e-11,0.302099310370591,0.479,0.371,4.24238454566078e-07,C,CENPU
UQCRB.2,2.0698047081863e-11,-0.27166948785335,0.987,0.989,5.0015692766359e-07,C,UQCRB
IL3RA,2.2305721263944e-11,0.271707045026378,0.471,0.278,5.3907228891504e-07,C,IL3RA
CD83.2,2.24075882526355e-11,-0.323686449665132,0.211,0.31,5.42398081243294e-07,C,CD83
HEMGN.3,2.9892702103621e-11,-0.290355116004149,0.333,0.444,7.23582747120251e-07,C,HEMGN
RIPK2.2,352.62886165741,-0.278761566170388,0.531,0.592,7.63125342252794e-07,C,RIPK2
CAVIN2,371.87045712512,-0.285501662797514,0.353,0.459,7.67782962851707e-07,C,CAVIN2
PTGS1,3.63057742479767e-11,-0.286542040744863,0.216,0.31,8.78817571446523e-07,C,PTGS1
PBXIP1.2,6.32135440619115e-11,-0.286017445983232,0.523,0.595,1.53014704756263e-06,C,PBXIP1
RXFP1.3,8.41915984557124e-11,-0.423899524845529,69,0.267,2.03794183221897e-06,C,RXFP1
HIST1H1E,1.08013606733398e-10,-0.469607799000143,0.655,0.711,2.61457736458863e-06,C,HIST1H1E
RAMP1.2,1.31381523227379e-23,0.318803196687182,0.715,0.524,3.8022115124193e-06,C,RAMP1
GLIPR1,2.41134541457158e-10,0.833757229138269,0.71,0.637,5.83690271051196e-06,C,GLIPR1
CPA3,3.05956557052266e-10,-0.381795710786507,0.208,0.317,7.40598442000716e-06,C,CPA3
PPA1,4.57360853327835e-23,0.289718288788862,0.933,0.866,1.0708768156536e-05,C,PPA1
RPS4Y1,5.89152530496674e-09,-0.271346940628592,0.64,0.747,0.000142610261532025,C,RPS4Y1
ATF3.3,7.73864879277736e-09,-0.261656334677833,0.392,0.466,0.000187321732677969,C,ATF3
HSPA5.3,8.77752396138336e-22,-1.25978250602378,0.898,0.906,0.00022468745009246,C,HSPA5
MCM3.2,9.47949490583154e-09,0.252706262306325,0.603,0.512,0.000229460653690558,C,MCM3
HMGCS1.2,157084.11994964,-0.263793029340544,0.24,0.322,0.000280083782075011,C,HMGCS1
CALCOCO2,9.05407509840273e-22,0.271309892815757,0.781,0.622,0.00029162941831937,C,CALCOCO2
XPC,1.29356249707646e-21,0.292332836643608,0.441,0.261,0.00033119738042327,C,XPC
ZFP36L2.2,6.69328462533064e-08,-0.315538733967399,0.836,0.83,0.00162017647640753,C,ZFP36L2
