gene,p_val,avg_log2FC,pct1,pct2,p_val_adj,Class,gene_clean
RPL36.2,1.57301656170161e-73,-0.403574178263179,1,1,3.80764388925491e-69,C,RPL36
TOMM7,6.3684191846345e-60,-0.529241605105792,0.93,0.978,1.48548395478326e-68,C,TOMM7
UQCRFS1,7.42714519398934e-73,-0.55351789136428,0.653,0.887,1.79781476565706e-68,C,UQCRFS1
HSPE1,1.2017252862871e-72,0.891816741662526,0.96,0.866,2.90889622798655e-68,C,HSPE1
KIAA0087,1.3567235414539e-72,0.341378670366444,0.209,0.039,3.28408500444332e-68,C,KIAA0087
RPL41.2,3.70762462579721e-72,-0.330828784584384,1,1,8.97467616920473e-68,C,RPL41
PHPT1.2,7.1295448252317e-58,0.64343303988683,0.886,0.678,1.72176176203956e-66,C,PHPT1
MCL1.2,1.7041028805385e-56,-0.808263957290338,0.606,0.808,2.83309514326315e-65,C,MCL1
PYCARD,1.78068767902364e-69,0.524999334667491,0.968,0.849,4.31033259584462e-65,C,PYCARD
AC020916.3,7.09987633803909e-69,-0.988880981380239,0.231,0.572,1.71859606638574e-64,C,AC020916
DOK1,3.07456811296766e-68,0.392109239000216,0.605,0.269,7.44229957424952e-64,C,DOK1
H1F0,1.27631286043766e-67,-1.01041864981947,0.482,0.759,3.08944290997539e-63,C,H1F0
H2AFY.3,7.31821609677161e-67,0.804089734304595,0.997,0.985,1.77144738838454e-62,C,H2AFY
PARK7,3.67090930690763e-66,0.423283777140089,0.983,0.947,8.88580306830061e-62,C,PARK7
RPL36AL.3,7.28490243437901e-65,-0.477325151048353,0.972,0.992,1.76338348326578e-60,C,RPL36AL
PRDX1.2,1.51534415296054e-64,-0.615893516001061,0.953,0.986,3.66804205665627e-60,C,PRDX1
TPI1.2,1.97472423499405e-64,0.478889134133273,0.995,0.985,4.7800174832266e-60,C,TPI1
DUSP1.3,2.20900632059368e-64,-1.29977246243817,0.447,0.696,5.34712069962907e-60,C,DUSP1
KLF10.2,6.08587262325225e-64,-0.708816365139594,0.363,0.64,1.47314632718444e-59,C,KLF10
MYADM.2,6.28273662338294e-64,-0.844663447242275,0.675,0.849,1.52079922705608e-59,C,MYADM
TRG-AS1,2.209837842312e-63,0.296950948063579,0.265,0.07,5.34913348110042e-59,C,TRG-AS1
MECOM,1.45165059065886e-62,0.496125701178374,0.576,0.263,3.51386541974884e-58,C,MECOM
